measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.021726085;A;lih-rih
ctc_probability;embeds;B;1;0.019619355;A;lih-rih
ctc_probability;embeds;B;2;0.018524693;A;lih-rih
ctc_probability;embeds;B;3;0.019784149;A;lih-rih
ctc_probability;embeds;B;4;0.011147525;A;lih-rih
ctc_probability;embeds;B;5;0.009100338;A;lih-rih
ctc_probability;embeds;B;6;0.01664505;A;lih-rih
ctc_probability;embeds;P;0;0.058489207;A;lih-rih
ctc_probability;embeds;P;1;0.05543203;A;lih-rih
ctc_probability;embeds;P;2;0.013919037;A;lih-rih
ctc_probability;embeds;P;3;0.018753536;A;lih-rih
ctc_probability;embeds;P;4;0.030242141;A;lih-rih
ctc_probability;embeds;P;5;0.02086281;A;lih-rih
ctc_probability;embeds;P;6;0.015723754;A;lih-rih
ctc_probability;T1;B;0;0.081689835;A;lih-rih
ctc_probability;T1;B;1;0.05214011;A;lih-rih
ctc_probability;T1;B;2;0.03651881;A;lih-rih
ctc_probability;T1;B;3;0.036426082;A;lih-rih
ctc_probability;T1;B;4;0.043341674;A;lih-rih
ctc_probability;T1;B;5;0.02919001;A;lih-rih
ctc_probability;T1;B;6;0.037455242;A;lih-rih
ctc_probability;T1;P;0;0.039004877;A;lih-rih
ctc_probability;T1;P;1;0.06415964;A;lih-rih
ctc_probability;T1;P;2;0.05961658;A;lih-rih
ctc_probability;T1;P;3;0.0406472;A;lih-rih
ctc_probability;T1;P;4;0.056866422;A;lih-rih
ctc_probability;T1;P;5;0.06218249;A;lih-rih
ctc_probability;T1;P;6;0.0926485;A;lih-rih
ctc_probability;T2;B;0;0.068896815;A;lih-rih
ctc_probability;T2;B;1;0.035314076;A;lih-rih
ctc_probability;T2;B;2;0.025932144;A;lih-rih
ctc_probability;T2;B;3;0.029779412;A;lih-rih
ctc_probability;T2;B;4;0.03767972;A;lih-rih
ctc_probability;T2;B;5;0.01856972;A;lih-rih
ctc_probability;T2;B;6;0.025911182;A;lih-rih
ctc_probability;T2;P;0;0.034781553;A;lih-rih
ctc_probability;T2;P;1;0.034588624;A;lih-rih
ctc_probability;T2;P;2;0.03034321;A;lih-rih
ctc_probability;T2;P;3;0.030215118;A;lih-rih
ctc_probability;T2;P;4;0.03756334;A;lih-rih
ctc_probability;T2;P;5;0.041926585;A;lih-rih
ctc_probability;T2;P;6;0.050177757;A;lih-rih
ctc_probability;T3;B;0;0.20100388;A;lih-rih
ctc_probability;T3;B;1;0.10525024;A;lih-rih
ctc_probability;T3;B;2;0.043692764;A;lih-rih
ctc_probability;T3;B;3;0.095912255;A;lih-rih
ctc_probability;T3;B;4;0.10739306;A;lih-rih
ctc_probability;T3;B;5;0.07479503;A;lih-rih
ctc_probability;T3;B;6;0.041448187;A;lih-rih
ctc_probability;T3;P;0;0.037823603;A;lih-rih
ctc_probability;T3;P;1;0.036489148;A;lih-rih
ctc_probability;T3;P;2;0.017241102;A;lih-rih
ctc_probability;T3;P;3;0.016226817;A;lih-rih
ctc_probability;T3;P;4;0.025523255;A;lih-rih
ctc_probability;T3;P;5;0.046744652;A;lih-rih
ctc_probability;T3;P;6;0.046502177;A;lih-rih
ctc_probability;T4;B;0;0.07523136;A;lih-rih
ctc_probability;T4;B;1;0.03573693;A;lih-rih
ctc_probability;T4;B;2;0.020346861;A;lih-rih
ctc_probability;T4;B;3;0.036202118;A;lih-rih
ctc_probability;T4;B;4;0.053711496;A;lih-rih
ctc_probability;T4;B;5;0.04195113;A;lih-rih
ctc_probability;T4;B;6;0.055205017;A;lih-rih
ctc_probability;T4;P;0;0.08367894;A;lih-rih
ctc_probability;T4;P;1;0.036528394;A;lih-rih
ctc_probability;T4;P;2;0.015597361;A;lih-rih
ctc_probability;T4;P;3;0.027219221;A;lih-rih
ctc_probability;T4;P;4;0.03166862;A;lih-rih
ctc_probability;T4;P;5;0.12064114;A;lih-rih
ctc_probability;T4;P;6;0.040947165;A;lih-rih
ctc_probability;T5;B;0;0.33058846;A;lih-rih
ctc_probability;T5;B;1;0.06793451;A;lih-rih
ctc_probability;T5;B;2;0.035360496;A;lih-rih
ctc_probability;T5;B;3;0.026901174;A;lih-rih
ctc_probability;T5;B;4;0.036943726;A;lih-rih
ctc_probability;T5;B;5;0.037331197;A;lih-rih
ctc_probability;T5;B;6;0.031541243;A;lih-rih
ctc_probability;T5;P;0;0.09415963;A;lih-rih
ctc_probability;T5;P;1;0.06384887;A;lih-rih
ctc_probability;T5;P;2;0.03746108;A;lih-rih
ctc_probability;T5;P;3;0.051533613;A;lih-rih
ctc_probability;T5;P;4;0.087074086;A;lih-rih
ctc_probability;T5;P;5;0.44018093;A;lih-rih
ctc_probability;T5;P;6;0.2622535;A;lih-rih
ctc_probability;T6;B;0;0.5654546;A;lih-rih
ctc_probability;T6;B;1;0.115992635;A;lih-rih
ctc_probability;T6;B;2;0.03412884;A;lih-rih
ctc_probability;T6;B;3;0.034264125;A;lih-rih
ctc_probability;T6;B;4;0.04456868;A;lih-rih
ctc_probability;T6;B;5;0.027241353;A;lih-rih
ctc_probability;T6;B;6;0.032136783;A;lih-rih
ctc_probability;T6;P;0;0.08962816;A;lih-rih
ctc_probability;T6;P;1;0.11005787;A;lih-rih
ctc_probability;T6;P;2;0.040893517;A;lih-rih
ctc_probability;T6;P;3;0.077780135;A;lih-rih
ctc_probability;T6;P;4;0.13594005;A;lih-rih
ctc_probability;T6;P;5;0.5263337;A;lih-rih
ctc_probability;T6;P;6;0.2957507;A;lih-rih
ctc_probability;T7;B;0;0.43847367;A;lih-rih
ctc_probability;T7;B;1;0.11340067;A;lih-rih
ctc_probability;T7;B;2;0.017991195;A;lih-rih
ctc_probability;T7;B;3;0.028239192;A;lih-rih
ctc_probability;T7;B;4;0.052180927;A;lih-rih
