measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.062968485;A;lih-rih
ctc_probability;embeds;B;1;0.021242678;A;lih-rih
ctc_probability;embeds;B;2;0.02100339;A;lih-rih
ctc_probability;embeds;B;3;0.019762551;A;lih-rih
ctc_probability;embeds;B;4;0.023464384;A;lih-rih
ctc_probability;embeds;B;5;0.008581394;A;lih-rih
ctc_probability;embeds;B;6;0.023668472;A;lih-rih
ctc_probability;embeds;P;0;0.035952743;A;lih-rih
ctc_probability;embeds;P;1;0.016714873;A;lih-rih
ctc_probability;embeds;P;2;0.018092098;A;lih-rih
ctc_probability;embeds;P;3;0.031505868;A;lih-rih
ctc_probability;embeds;P;4;0.041112676;A;lih-rih
ctc_probability;embeds;P;5;0.021563467;A;lih-rih
ctc_probability;embeds;P;6;0.022842856;A;lih-rih
ctc_probability;T1;B;0;0.07383718;A;lih-rih
ctc_probability;T1;B;1;0.03459785;A;lih-rih
ctc_probability;T1;B;2;0.042790398;A;lih-rih
ctc_probability;T1;B;3;0.033978727;A;lih-rih
ctc_probability;T1;B;4;0.037519023;A;lih-rih
ctc_probability;T1;B;5;0.026505793;A;lih-rih
ctc_probability;T1;B;6;0.036413368;A;lih-rih
ctc_probability;T1;P;0;0.04141699;A;lih-rih
ctc_probability;T1;P;1;0.022375865;A;lih-rih
ctc_probability;T1;P;2;0.02796156;A;lih-rih
ctc_probability;T1;P;3;0.026750362;A;lih-rih
ctc_probability;T1;P;4;0.042312574;A;lih-rih
ctc_probability;T1;P;5;0.03525479;A;lih-rih
ctc_probability;T1;P;6;0.039364036;A;lih-rih
ctc_probability;T2;B;0;0.07957225;A;lih-rih
ctc_probability;T2;B;1;0.034985077;A;lih-rih
ctc_probability;T2;B;2;0.049245488;A;lih-rih
ctc_probability;T2;B;3;0.036363345;A;lih-rih
ctc_probability;T2;B;4;0.030130807;A;lih-rih
ctc_probability;T2;B;5;0.03547576;A;lih-rih
ctc_probability;T2;B;6;0.028433364;A;lih-rih
ctc_probability;T2;P;0;0.021127578;A;lih-rih
ctc_probability;T2;P;1;0.018866844;A;lih-rih
ctc_probability;T2;P;2;0.020218018;A;lih-rih
ctc_probability;T2;P;3;0.035803463;A;lih-rih
ctc_probability;T2;P;4;0.03267928;A;lih-rih
ctc_probability;T2;P;5;0.04148875;A;lih-rih
ctc_probability;T2;P;6;0.06692386;A;lih-rih
ctc_probability;T3;B;0;0.24522799;A;lih-rih
ctc_probability;T3;B;1;0.16072966;A;lih-rih
ctc_probability;T3;B;2;0.099462666;A;lih-rih
ctc_probability;T3;B;3;0.098500684;A;lih-rih
ctc_probability;T3;B;4;0.05985977;A;lih-rih
ctc_probability;T3;B;5;0.07799703;A;lih-rih
ctc_probability;T3;B;6;0.047421694;A;lih-rih
ctc_probability;T3;P;0;0.055494692;A;lih-rih
ctc_probability;T3;P;1;0.2039011;A;lih-rih
ctc_probability;T3;P;2;0.0936314;A;lih-rih
ctc_probability;T3;P;3;0.16406631;A;lih-rih
ctc_probability;T3;P;4;0.09982788;A;lih-rih
ctc_probability;T3;P;5;0.095467694;A;lih-rih
ctc_probability;T3;P;6;0.11322786;A;lih-rih
ctc_probability;T4;B;0;0.25753254;A;lih-rih
ctc_probability;T4;B;1;0.13818039;A;lih-rih
ctc_probability;T4;B;2;0.08351777;A;lih-rih
ctc_probability;T4;B;3;0.042398464;A;lih-rih
ctc_probability;T4;B;4;0.06699534;A;lih-rih
ctc_probability;T4;B;5;0.07569867;A;lih-rih
ctc_probability;T4;B;6;0.046597816;A;lih-rih
ctc_probability;T4;P;0;0.09025174;A;lih-rih
ctc_probability;T4;P;1;0.14769188;A;lih-rih
ctc_probability;T4;P;2;0.070586935;A;lih-rih
ctc_probability;T4;P;3;0.16880634;A;lih-rih
ctc_probability;T4;P;4;0.12694533;A;lih-rih
ctc_probability;T4;P;5;0.1418585;A;lih-rih
ctc_probability;T4;P;6;0.1787256;A;lih-rih
ctc_probability;T5;B;0;0.5230164;A;lih-rih
ctc_probability;T5;B;1;0.1560996;A;lih-rih
ctc_probability;T5;B;2;0.048216946;A;lih-rih
ctc_probability;T5;B;3;0.05673447;A;lih-rih
ctc_probability;T5;B;4;0.042810895;A;lih-rih
ctc_probability;T5;B;5;0.03849937;A;lih-rih
ctc_probability;T5;B;6;0.059486043;A;lih-rih
ctc_probability;T5;P;0;0.220233;A;lih-rih
ctc_probability;T5;P;1;0.37784854;A;lih-rih
ctc_probability;T5;P;2;0.09333709;A;lih-rih
ctc_probability;T5;P;3;0.2756108;A;lih-rih
ctc_probability;T5;P;4;0.12050035;A;lih-rih
ctc_probability;T5;P;5;0.13067357;A;lih-rih
ctc_probability;T5;P;6;0.2690194;A;lih-rih
ctc_probability;T6;B;0;0.6927439;A;lih-rih
ctc_probability;T6;B;1;0.2095976;A;lih-rih
ctc_probability;T6;B;2;0.06638905;A;lih-rih
ctc_probability;T6;B;3;0.036637954;A;lih-rih
ctc_probability;T6;B;4;0.044278376;A;lih-rih
ctc_probability;T6;B;5;0.031712845;A;lih-rih
ctc_probability;T6;B;6;0.05214139;A;lih-rih
ctc_probability;T6;P;0;0.04068134;A;lih-rih
ctc_probability;T6;P;1;0.21237794;A;lih-rih
ctc_probability;T6;P;2;0.090694614;A;lih-rih
ctc_probability;T6;P;3;0.36404806;A;lih-rih
ctc_probability;T6;P;4;0.23411454;A;lih-rih
ctc_probability;T6;P;5;0.24154921;A;lih-rih
ctc_probability;T6;P;6;0.19349934;A;lih-rih
ctc_probability;T7;B;0;0.6839001;A;lih-rih
ctc_probability;T7;B;1;0.28253442;A;lih-rih
ctc_probability;T7;B;2;0.06765841;A;lih-rih
ctc_probability;T7;B;3;0.0308449;A;lih-rih
ctc_probability;T7;B;4;0.036805682;A;lih-rih
ctc_probability;T7;B;5;0.026731635;A;lih-rih
ctc_probability;T7;B;6;0.03835341;A;lih-rih
ctc_probability;T7;P;0;0.042425595;A;lih-rih
ctc_probability;T7;P;1;0.09676814;A;lih-rih
ctc_probability;T7;P;2;0.082786456;A;lih-rih
ctc_probability;T7;P;3;0.33510557;A;lih-rih
ctc_probability;T7;P;4;0.09389801;A;lih-rih
ctc_probability;T7;P;5;0.14539258;A;lih-rih
ctc_probability;T7;P;6;0.16684799;A;lih-rih
ctc_probability;T8;B;0;0.5912569;A;lih-rih
ctc_probability;T8;B;1;0.28954697;A;lih-rih
ctc_probability;T8;B;2;0.05703651;A;lih-rih
ctc_probability;T8;B;3;0.027831266;A;lih-rih
ctc_probability;T8;B;4;0.033173323;A;lih-rih
ctc_probability;T8;B;5;0.041463647;A;lih-rih
ctc_probability;T8;B;6;0.03222582;A;lih-rih
ctc_probability;T8;P;0;0.07958102;A;lih-rih
ctc_probability;T8;P;1;0.15137228;A;lih-rih
ctc_probability;T8;P;2;0.06962517;A;lih-rih
ctc_probability;T8;P;3;0.3364383;A;lih-rih
ctc_probability;T8;P;4;0.045049857;A;lih-rih
ctc_probability;T8;P;5;0.08023329;A;lih-rih
ctc_probability;T8;P;6;0.18089244;A;lih-rih
ctc_probability;T9;B;0;0.8705132;A;lih-rih
ctc_probability;T9;B;1;0.42544344;A;lih-rih
ctc_probability;T9;B;2;0.043179978;A;lih-rih
ctc_probability;T9;B;3;0.051699657;A;lih-rih
ctc_probability;T9;B;4;0.033899475;A;lih-rih
ctc_probability;T9;B;5;0.03788831;A;lih-rih
ctc_probability;T9;B;6;0.044427097;A;lih-rih
ctc_probability;T9;P;0;0.047543887;A;lih-rih
ctc_probability;T9;P;1;0.16489941;A;lih-rih
ctc_probability;T9;P;2;0.07841808;A;lih-rih
ctc_probability;T9;P;3;0.5877987;A;lih-rih
ctc_probability;T9;P;4;0.04577727;A;lih-rih
ctc_probability;T9;P;5;0.07327156;A;lih-rih
ctc_probability;T9;P;6;0.5520984;A;lih-rih
ctc_probability;T10;B;0;0.46775183;A;lih-rih
ctc_probability;T10;B;1;0.09083112;A;lih-rih
ctc_probability;T10;B;2;0.039280962;A;lih-rih
ctc_probability;T10;B;3;0.037920535;A;lih-rih
ctc_probability;T10;B;4;0.08015989;A;lih-rih
ctc_probability;T10;B;5;0.04339397;A;lih-rih
ctc_probability;T10;B;6;0.049207047;A;lih-rih
ctc_probability;T10;P;0;0.1546388;A;lih-rih
ctc_probability;T10;P;1;0.27522805;A;lih-rih
ctc_probability;T10;P;2;0.11305202;A;lih-rih
ctc_probability;T10;P;3;0.32016897;A;lih-rih
ctc_probability;T10;P;4;0.04810282;A;lih-rih
ctc_probability;T10;P;5;0.06890813;A;lih-rih
ctc_probability;T10;P;6;0.24918714;A;lih-rih
ctc_probability;T11;B;0;0.0030369838;A;lih-rih
ctc_probability;T11;B;1;0.0015221967;A;lih-rih
ctc_probability;T11;B;2;0.0008940782;A;lih-rih
ctc_probability;T11;B;3;0.0021695045;A;lih-rih
ctc_probability;T11;B;4;0.0066172685;A;lih-rih
ctc_probability;T11;B;5;0.0057096644;A;lih-rih
ctc_probability;T11;B;6;0.0033231906;A;lih-rih
ctc_probability;T11;P;0;0.0036716135;A;lih-rih
ctc_probability;T11;P;1;0.0017809959;A;lih-rih
ctc_probability;T11;P;2;0.0013945181;A;lih-rih
ctc_probability;T11;P;3;0.004181546;A;lih-rih
ctc_probability;T11;P;4;0.0071377563;A;lih-rih
ctc_probability;T11;P;5;0.006524914;A;lih-rih
ctc_probability;T11;P;6;0.0048611364;A;lih-rih
ctc_probability;T12;B;0;0.15474619;A;lih-rih
ctc_probability;T12;B;1;0.01167245;A;lih-rih
ctc_probability;T12;B;2;0.003026498;A;lih-rih
ctc_probability;T12;B;3;0.0028603796;A;lih-rih
ctc_probability;T12;B;4;0.0003566698;A;lih-rih
ctc_probability;T12;B;5;7.100209e-05;A;lih-rih
ctc_probability;T12;B;6;0.0035934837;A;lih-rih
ctc_probability;T12;P;0;0.13940604;A;lih-rih
ctc_probability;T12;P;1;0.04805867;A;lih-rih
ctc_probability;T12;P;2;0.017053299;A;lih-rih
ctc_probability;T12;P;3;0.020991541;A;lih-rih
ctc_probability;T12;P;4;0.002152364;A;lih-rih
ctc_probability;T12;P;5;0.004959659;A;lih-rih
ctc_probability;T12;P;6;0.011116267;A;lih-rih
