measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.00014963232;A;lih-rih
ctc_probability;embeds;B;1;8.9754736e-05;A;lih-rih
ctc_probability;embeds;B;2;0.014932873;A;lih-rih
ctc_probability;embeds;B;3;0.0027831933;A;lih-rih
ctc_probability;embeds;B;4;8.195434e-05;A;lih-rih
ctc_probability;embeds;B;5;0.015479711;A;lih-rih
ctc_probability;embeds;B;6;0.0012843336;A;lih-rih
ctc_probability;embeds;P;0;0.001074633;A;lih-rih
ctc_probability;embeds;P;1;0.017702783;A;lih-rih
ctc_probability;embeds;P;2;0.0009813359;A;lih-rih
ctc_probability;embeds;P;3;0.00077811425;A;lih-rih
ctc_probability;embeds;P;4;0.0511613;A;lih-rih
ctc_probability;embeds;P;5;0.0013453048;A;lih-rih
ctc_probability;embeds;P;6;0.0006998456;A;lih-rih
ctc_probability;T1;B;0;0.0007368914;A;lih-rih
ctc_probability;T1;B;1;0.0008486958;A;lih-rih
ctc_probability;T1;B;2;0.017018037;A;lih-rih
ctc_probability;T1;B;3;0.009389801;A;lih-rih
ctc_probability;T1;B;4;0.00076637446;A;lih-rih
ctc_probability;T1;B;5;0.012742527;A;lih-rih
ctc_probability;T1;B;6;0.0032802105;A;lih-rih
ctc_probability;T1;P;0;0.0010458112;A;lih-rih
ctc_probability;T1;P;1;0.005110354;A;lih-rih
ctc_probability;T1;P;2;0.002035827;A;lih-rih
ctc_probability;T1;P;3;0.00036429515;A;lih-rih
ctc_probability;T1;P;4;0.006892582;A;lih-rih
ctc_probability;T1;P;5;0.0016033305;A;lih-rih
ctc_probability;T1;P;6;0.00042118953;A;lih-rih
ctc_probability;T2;B;0;0.006368436;A;lih-rih
ctc_probability;T2;B;1;0.0038374236;A;lih-rih
ctc_probability;T2;B;2;0.033403974;A;lih-rih
ctc_probability;T2;B;3;0.019186152;A;lih-rih
ctc_probability;T2;B;4;0.005580202;A;lih-rih
ctc_probability;T2;B;5;0.036212355;A;lih-rih
ctc_probability;T2;B;6;0.0060717296;A;lih-rih
ctc_probability;T2;P;0;0.00061874394;A;lih-rih
ctc_probability;T2;P;1;0.012852294;A;lih-rih
ctc_probability;T2;P;2;0.0006008844;A;lih-rih
ctc_probability;T2;P;3;0.0004762814;A;lih-rih
ctc_probability;T2;P;4;0.0032084007;A;lih-rih
ctc_probability;T2;P;5;0.0005236118;A;lih-rih
ctc_probability;T2;P;6;0.000529032;A;lih-rih
ctc_probability;T3;B;0;0.0007631737;A;lih-rih
ctc_probability;T3;B;1;0.008297246;A;lih-rih
ctc_probability;T3;B;2;0.111746706;A;lih-rih
ctc_probability;T3;B;3;0.039405484;A;lih-rih
ctc_probability;T3;B;4;0.011750741;A;lih-rih
ctc_probability;T3;B;5;0.18504606;A;lih-rih
ctc_probability;T3;B;6;0.050019164;A;lih-rih
ctc_probability;T3;P;0;0.03469838;A;lih-rih
ctc_probability;T3;P;1;0.04509139;A;lih-rih
ctc_probability;T3;P;2;0.012228565;A;lih-rih
ctc_probability;T3;P;3;0.06224898;A;lih-rih
ctc_probability;T3;P;4;0.0194282;A;lih-rih
ctc_probability;T3;P;5;0.013394581;A;lih-rih
ctc_probability;T3;P;6;0.028603524;A;lih-rih
ctc_probability;T4;B;0;0.011205362;A;lih-rih
ctc_probability;T4;B;1;0.027613819;A;lih-rih
ctc_probability;T4;B;2;0.10526531;A;lih-rih
ctc_probability;T4;B;3;0.36485958;A;lih-rih
ctc_probability;T4;B;4;0.080902144;A;lih-rih
ctc_probability;T4;B;5;0.2882396;A;lih-rih
ctc_probability;T4;B;6;0.338626;A;lih-rih
ctc_probability;T4;P;0;0.03285078;A;lih-rih
ctc_probability;T4;P;1;0.10320595;A;lih-rih
ctc_probability;T4;P;2;0.010931145;A;lih-rih
ctc_probability;T4;P;3;0.006826179;A;lih-rih
ctc_probability;T4;P;4;0.101847954;A;lih-rih
ctc_probability;T4;P;5;0.1102672;A;lih-rih
ctc_probability;T4;P;6;0.00661155;A;lih-rih
ctc_probability;T5;B;0;0.002260904;A;lih-rih
ctc_probability;T5;B;1;0.021115523;A;lih-rih
ctc_probability;T5;B;2;0.10321636;A;lih-rih
ctc_probability;T5;B;3;0.19614136;A;lih-rih
ctc_probability;T5;B;4;0.008024094;A;lih-rih
ctc_probability;T5;B;5;0.06025661;A;lih-rih
ctc_probability;T5;B;6;0.059393983;A;lih-rih
ctc_probability;T5;P;0;0.016290462;A;lih-rih
ctc_probability;T5;P;1;0.26733714;A;lih-rih
ctc_probability;T5;P;2;0.016609576;A;lih-rih
ctc_probability;T5;P;3;0.0070121246;A;lih-rih
ctc_probability;T5;P;4;0.18966873;A;lih-rih
ctc_probability;T5;P;5;0.0129514225;A;lih-rih
ctc_probability;T5;P;6;0.0034031658;A;lih-rih
ctc_probability;T6;B;0;0.0011047116;A;lih-rih
ctc_probability;T6;B;1;0.014192723;A;lih-rih
ctc_probability;T6;B;2;0.053380594;A;lih-rih
ctc_probability;T6;B;3;0.0907241;A;lih-rih
ctc_probability;T6;B;4;0.0059042093;A;lih-rih
ctc_probability;T6;B;5;0.030727694;A;lih-rih
ctc_probability;T6;B;6;0.061063595;A;lih-rih
ctc_probability;T6;P;0;0.022368181;A;lih-rih
ctc_probability;T6;P;1;0.08028063;A;lih-rih
ctc_probability;T6;P;2;0.011564457;A;lih-rih
ctc_probability;T6;P;3;0.00041043575;A;lih-rih
ctc_probability;T6;P;4;0.038912896;A;lih-rih
ctc_probability;T6;P;5;0.004129883;A;lih-rih
ctc_probability;T6;P;6;0.00020943253;A;lih-rih
ctc_probability;T7;B;0;0.0049611568;A;lih-rih
ctc_probability;T7;B;1;0.11431948;A;lih-rih
ctc_probability;T7;B;2;0.11557624;A;lih-rih
ctc_probability;T7;B;3;0.30755508;A;lih-rih
ctc_probability;T7;B;4;0.011672318;A;lih-rih
ctc_probability;T7;B;5;0.11984455;A;lih-rih
ctc_probability;T7;B;6;0.06009747;A;lih-rih
ctc_probability;T7;P;0;0.0069707106;A;lih-rih
ctc_probability;T7;P;1;0.12141106;A;lih-rih
ctc_probability;T7;P;2;0.01719698;A;lih-rih
ctc_probability;T7;P;3;0.00043062138;A;lih-rih
ctc_probability;T7;P;4;0.023299007;A;lih-rih
ctc_probability;T7;P;5;0.008221778;A;lih-rih
ctc_probability;T7;P;6;0.00037978697;A;lih-rih
ctc_probability;T8;B;0;0.0007492437;A;lih-rih
ctc_probability;T8;B;1;0.010259052;A;lih-rih
ctc_probability;T8;B;2;0.1125407;A;lih-rih
ctc_probability;T8;B;3;0.16406295;A;lih-rih
ctc_probability;T8;B;4;0.0013339812;A;lih-rih
ctc_probability;T8;B;5;0.07568341;A;lih-rih
ctc_probability;T8;B;6;0.02163505;A;lih-rih
ctc_probability;T8;P;0;0.010073673;A;lih-rih
ctc_probability;T8;P;1;0.030150007;A;lih-rih
ctc_probability;T8;P;2;0.016697936;A;lih-rih
ctc_probability;T8;P;3;0.0016833683;A;lih-rih
ctc_probability;T8;P;4;0.0069913254;A;lih-rih
ctc_probability;T8;P;5;0.003076551;A;lih-rih
ctc_probability;T8;P;6;0.00019947956;A;lih-rih
ctc_probability;T9;B;0;0.015581497;A;lih-rih
ctc_probability;T9;B;1;0.057709336;A;lih-rih
ctc_probability;T9;B;2;0.5803854;A;lih-rih
ctc_probability;T9;B;3;0.28362525;A;lih-rih
ctc_probability;T9;B;4;0.024514992;A;lih-rih
ctc_probability;T9;B;5;0.18946508;A;lih-rih
ctc_probability;T9;B;6;0.030063713;A;lih-rih
ctc_probability;T9;P;0;0.06623269;A;lih-rih
ctc_probability;T9;P;1;0.085874945;A;lih-rih
ctc_probability;T9;P;2;0.013322181;A;lih-rih
ctc_probability;T9;P;3;0.0057116835;A;lih-rih
ctc_probability;T9;P;4;0.025611494;A;lih-rih
ctc_probability;T9;P;5;0.002702431;A;lih-rih
ctc_probability;T9;P;6;0.0019965426;A;lih-rih
ctc_probability;T10;B;0;0.39155942;A;lih-rih
ctc_probability;T10;B;1;0.45596936;A;lih-rih
ctc_probability;T10;B;2;0.867011;A;lih-rih
ctc_probability;T10;B;3;0.58239716;A;lih-rih
ctc_probability;T10;B;4;0.29401132;A;lih-rih
ctc_probability;T10;B;5;0.871041;A;lih-rih
ctc_probability;T10;B;6;0.1986603;A;lih-rih
ctc_probability;T10;P;0;0.012451413;A;lih-rih
ctc_probability;T10;P;1;0.033859067;A;lih-rih
ctc_probability;T10;P;2;0.03130697;A;lih-rih
ctc_probability;T10;P;3;0.0031066483;A;lih-rih
ctc_probability;T10;P;4;0.008207133;A;lih-rih
ctc_probability;T10;P;5;0.0025117449;A;lih-rih
ctc_probability;T10;P;6;0.006917713;A;lih-rih
ctc_probability;T11;B;0;0.087807156;A;lih-rih
ctc_probability;T11;B;1;0.05260654;A;lih-rih
ctc_probability;T11;B;2;0.12318568;A;lih-rih
ctc_probability;T11;B;3;0.08792075;A;lih-rih
ctc_probability;T11;B;4;0.045983013;A;lih-rih
ctc_probability;T11;B;5;0.62484264;A;lih-rih
ctc_probability;T11;B;6;0.061090037;A;lih-rih
ctc_probability;T11;P;0;0.0016167667;A;lih-rih
ctc_probability;T11;P;1;0.027583867;A;lih-rih
ctc_probability;T11;P;2;0.032407008;A;lih-rih
ctc_probability;T11;P;3;0.0017205793;A;lih-rih
ctc_probability;T11;P;4;0.0030434115;A;lih-rih
ctc_probability;T11;P;5;0.0017158526;A;lih-rih
ctc_probability;T11;P;6;0.00470495;A;lih-rih
ctc_probability;T12;B;0;0.75331295;A;lih-rih
ctc_probability;T12;B;1;0.19054635;A;lih-rih
ctc_probability;T12;B;2;0.10902003;A;lih-rih
ctc_probability;T12;B;3;0.2675143;A;lih-rih
ctc_probability;T12;B;4;0.2823277;A;lih-rih
ctc_probability;T12;B;5;0.56873524;A;lih-rih
ctc_probability;T12;B;6;0.153316;A;lih-rih
ctc_probability;T12;P;0;0.00022348594;A;lih-rih
ctc_probability;T12;P;1;0.03514896;A;lih-rih
ctc_probability;T12;P;2;0.0070534167;A;lih-rih
ctc_probability;T12;P;3;0.0007005877;A;lih-rih
ctc_probability;T12;P;4;0.0024695238;A;lih-rih
ctc_probability;T12;P;5;0.0010153591;A;lih-rih
ctc_probability;T12;P;6;0.0040996014;A;lih-rih
