measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.05429613;A;lih-rih
ctc_probability;embeds;B;1;0.12719971;A;lih-rih
ctc_probability;embeds;B;2;0.09380441;A;lih-rih
ctc_probability;embeds;B;3;0.111658104;A;lih-rih
ctc_probability;embeds;B;4;0.07577982;A;lih-rih
ctc_probability;embeds;B;5;0.07936475;A;lih-rih
ctc_probability;embeds;B;6;0.07605752;A;lih-rih
ctc_probability;embeds;P;0;0.028743453;A;lih-rih
ctc_probability;embeds;P;1;0.02066695;A;lih-rih
ctc_probability;embeds;P;2;0.018607324;A;lih-rih
ctc_probability;embeds;P;3;0.03346056;A;lih-rih
ctc_probability;embeds;P;4;0.023006702;A;lih-rih
ctc_probability;embeds;P;5;0.02461326;A;lih-rih
ctc_probability;embeds;P;6;0.02512162;A;lih-rih
ctc_probability;T1;B;0;0.083065785;A;lih-rih
ctc_probability;T1;B;1;0.15125178;A;lih-rih
ctc_probability;T1;B;2;0.15051003;A;lih-rih
ctc_probability;T1;B;3;0.17137013;A;lih-rih
ctc_probability;T1;B;4;0.124610275;A;lih-rih
ctc_probability;T1;B;5;0.115485005;A;lih-rih
ctc_probability;T1;B;6;0.11235124;A;lih-rih
ctc_probability;T1;P;0;0.04325959;A;lih-rih
ctc_probability;T1;P;1;0.042709157;A;lih-rih
ctc_probability;T1;P;2;0.0519587;A;lih-rih
ctc_probability;T1;P;3;0.039579995;A;lih-rih
ctc_probability;T1;P;4;0.04646919;A;lih-rih
ctc_probability;T1;P;5;0.07430973;A;lih-rih
ctc_probability;T1;P;6;0.07456598;A;lih-rih
ctc_probability;T2;B;0;0.024177918;A;lih-rih
ctc_probability;T2;B;1;0.049472794;A;lih-rih
ctc_probability;T2;B;2;0.048941474;A;lih-rih
ctc_probability;T2;B;3;0.095134646;A;lih-rih
ctc_probability;T2;B;4;0.049813095;A;lih-rih
ctc_probability;T2;B;5;0.059555918;A;lih-rih
ctc_probability;T2;B;6;0.062042147;A;lih-rih
ctc_probability;T2;P;0;0.02948591;A;lih-rih
ctc_probability;T2;P;1;0.029437153;A;lih-rih
ctc_probability;T2;P;2;0.04094785;A;lih-rih
ctc_probability;T2;P;3;0.041183192;A;lih-rih
ctc_probability;T2;P;4;0.03324966;A;lih-rih
ctc_probability;T2;P;5;0.062088545;A;lih-rih
ctc_probability;T2;P;6;0.0544886;A;lih-rih
ctc_probability;T3;B;0;0.05065861;A;lih-rih
ctc_probability;T3;B;1;0.059497748;A;lih-rih
ctc_probability;T3;B;2;0.07865636;A;lih-rih
ctc_probability;T3;B;3;0.13121666;A;lih-rih
ctc_probability;T3;B;4;0.080368966;A;lih-rih
ctc_probability;T3;B;5;0.08697814;A;lih-rih
ctc_probability;T3;B;6;0.09592666;A;lih-rih
ctc_probability;T3;P;0;0.030349866;A;lih-rih
ctc_probability;T3;P;1;0.036247887;A;lih-rih
ctc_probability;T3;P;2;0.037018918;A;lih-rih
ctc_probability;T3;P;3;0.045446474;A;lih-rih
ctc_probability;T3;P;4;0.041320425;A;lih-rih
ctc_probability;T3;P;5;0.045922585;A;lih-rih
ctc_probability;T3;P;6;0.05627648;A;lih-rih
ctc_probability;T4;B;0;0.050264876;A;lih-rih
ctc_probability;T4;B;1;0.044912066;A;lih-rih
ctc_probability;T4;B;2;0.04221113;A;lih-rih
ctc_probability;T4;B;3;0.06356387;A;lih-rih
ctc_probability;T4;B;4;0.059052683;A;lih-rih
ctc_probability;T4;B;5;0.052963365;A;lih-rih
ctc_probability;T4;B;6;0.040257838;A;lih-rih
ctc_probability;T4;P;0;0.031547397;A;lih-rih
ctc_probability;T4;P;1;0.039193496;A;lih-rih
ctc_probability;T4;P;2;0.03519101;A;lih-rih
ctc_probability;T4;P;3;0.049253054;A;lih-rih
ctc_probability;T4;P;4;0.046363216;A;lih-rih
ctc_probability;T4;P;5;0.049078684;A;lih-rih
ctc_probability;T4;P;6;0.053747457;A;lih-rih
ctc_probability;T5;B;0;0.019599164;A;lih-rih
ctc_probability;T5;B;1;0.030667264;A;lih-rih
ctc_probability;T5;B;2;0.034791246;A;lih-rih
ctc_probability;T5;B;3;0.02448628;A;lih-rih
ctc_probability;T5;B;4;0.025643615;A;lih-rih
ctc_probability;T5;B;5;0.02281564;A;lih-rih
ctc_probability;T5;B;6;0.014682792;A;lih-rih
ctc_probability;T5;P;0;0.05058605;A;lih-rih
ctc_probability;T5;P;1;0.0511187;A;lih-rih
ctc_probability;T5;P;2;0.054346357;A;lih-rih
ctc_probability;T5;P;3;0.06123041;A;lih-rih
ctc_probability;T5;P;4;0.054939028;A;lih-rih
ctc_probability;T5;P;5;0.057705123;A;lih-rih
ctc_probability;T5;P;6;0.04806585;A;lih-rih
ctc_probability;T6;B;0;0.021581544;A;lih-rih
ctc_probability;T6;B;1;0.033608515;A;lih-rih
ctc_probability;T6;B;2;0.031544514;A;lih-rih
ctc_probability;T6;B;3;0.03299424;A;lih-rih
ctc_probability;T6;B;4;0.03368961;A;lih-rih
ctc_probability;T6;B;5;0.025975091;A;lih-rih
ctc_probability;T6;B;6;0.021387564;A;lih-rih
ctc_probability;T6;P;0;0.077837735;A;lih-rih
ctc_probability;T6;P;1;0.045938976;A;lih-rih
ctc_probability;T6;P;2;0.03926936;A;lih-rih
ctc_probability;T6;P;3;0.08559984;A;lih-rih
ctc_probability;T6;P;4;0.080408186;A;lih-rih
ctc_probability;T6;P;5;0.10297413;A;lih-rih
ctc_probability;T6;P;6;0.096717164;A;lih-rih
ctc_probability;T7;B;0;0.020520467;A;lih-rih
ctc_probability;T7;B;1;0.041318152;A;lih-rih
ctc_probability;T7;B;2;0.03069754;A;lih-rih
ctc_probability;T7;B;3;0.03052954;A;lih-rih
ctc_probability;T7;B;4;0.034154125;A;lih-rih
ctc_probability;T7;B;5;0.032971613;A;lih-rih
ctc_probability;T7;B;6;0.026780317;A;lih-rih
ctc_probability;T7;P;0;0.060399536;A;lih-rih
ctc_probability;T7;P;1;0.036985394;A;lih-rih
ctc_probability;T7;P;2;0.0464928;A;lih-rih
ctc_probability;T7;P;3;0.103017114;A;lih-rih
ctc_probability;T7;P;4;0.12236706;A;lih-rih
ctc_probability;T7;P;5;0.15709858;A;lih-rih
ctc_probability;T7;P;6;0.19548696;A;lih-rih
ctc_probability;T8;B;0;0.050540224;A;lih-rih
ctc_probability;T8;B;1;0.0625412;A;lih-rih
ctc_probability;T8;B;2;0.04138196;A;lih-rih
ctc_probability;T8;B;3;0.04015183;A;lih-rih
ctc_probability;T8;B;4;0.042100247;A;lih-rih
ctc_probability;T8;B;5;0.043590926;A;lih-rih
ctc_probability;T8;B;6;0.03967633;A;lih-rih
ctc_probability;T8;P;0;0.1389241;A;lih-rih
ctc_probability;T8;P;1;0.07149072;A;lih-rih
ctc_probability;T8;P;2;0.07954666;A;lih-rih
ctc_probability;T8;P;3;0.18508877;A;lih-rih
ctc_probability;T8;P;4;0.22814485;A;lih-rih
ctc_probability;T8;P;5;0.22739677;A;lih-rih
ctc_probability;T8;P;6;0.25490552;A;lih-rih
ctc_probability;T9;B;0;0.03925136;A;lih-rih
ctc_probability;T9;B;1;0.040359292;A;lih-rih
ctc_probability;T9;B;2;0.022245523;A;lih-rih
ctc_probability;T9;B;3;0.03277726;A;lih-rih
ctc_probability;T9;B;4;0.030105798;A;lih-rih
ctc_probability;T9;B;5;0.041841738;A;lih-rih
ctc_probability;T9;B;6;0.038476206;A;lih-rih
ctc_probability;T9;P;0;0.12554708;A;lih-rih
ctc_probability;T9;P;1;0.09221979;A;lih-rih
ctc_probability;T9;P;2;0.1016358;A;lih-rih
ctc_probability;T9;P;3;0.17447646;A;lih-rih
ctc_probability;T9;P;4;0.2348511;A;lih-rih
ctc_probability;T9;P;5;0.30697656;A;lih-rih
ctc_probability;T9;P;6;0.31383014;A;lih-rih
ctc_probability;T10;B;0;0.0354054;A;lih-rih
ctc_probability;T10;B;1;0.040935416;A;lih-rih
ctc_probability;T10;B;2;0.016974652;A;lih-rih
ctc_probability;T10;B;3;0.015403189;A;lih-rih
ctc_probability;T10;B;4;0.01964524;A;lih-rih
ctc_probability;T10;B;5;0.029431818;A;lih-rih
ctc_probability;T10;B;6;0.019930584;A;lih-rih
ctc_probability;T10;P;0;0.071515456;A;lih-rih
ctc_probability;T10;P;1;0.050966036;A;lih-rih
ctc_probability;T10;P;2;0.087424375;A;lih-rih
ctc_probability;T10;P;3;0.21475226;A;lih-rih
ctc_probability;T10;P;4;0.19001475;A;lih-rih
