measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.0500916;A;lih-rih
ctc_probability;embeds;B;1;0.10892484;A;lih-rih
ctc_probability;embeds;B;2;0.081063606;A;lih-rih
ctc_probability;embeds;B;3;0.09326289;A;lih-rih
ctc_probability;embeds;B;4;0.06962719;A;lih-rih
ctc_probability;embeds;B;5;0.07423768;A;lih-rih
ctc_probability;embeds;B;6;0.06818524;A;lih-rih
ctc_probability;embeds;P;0;0.022642538;A;lih-rih
ctc_probability;embeds;P;1;0.01828401;A;lih-rih
ctc_probability;embeds;P;2;0.015972912;A;lih-rih
ctc_probability;embeds;P;3;0.028719865;A;lih-rih
ctc_probability;embeds;P;4;0.020324893;A;lih-rih
ctc_probability;embeds;P;5;0.023702072;A;lih-rih
ctc_probability;embeds;P;6;0.02131949;A;lih-rih
ctc_probability;T1;B;0;0.03965521;A;lih-rih
ctc_probability;T1;B;1;0.051234756;A;lih-rih
ctc_probability;T1;B;2;0.073485345;A;lih-rih
ctc_probability;T1;B;3;0.07358169;A;lih-rih
ctc_probability;T1;B;4;0.06053755;A;lih-rih
ctc_probability;T1;B;5;0.046444967;A;lih-rih
ctc_probability;T1;B;6;0.04190535;A;lih-rih
ctc_probability;T1;P;0;0.058029395;A;lih-rih
ctc_probability;T1;P;1;0.04641726;A;lih-rih
ctc_probability;T1;P;2;0.06471932;A;lih-rih
ctc_probability;T1;P;3;0.056737266;A;lih-rih
ctc_probability;T1;P;4;0.059721448;A;lih-rih
ctc_probability;T1;P;5;0.09895376;A;lih-rih
ctc_probability;T1;P;6;0.09826283;A;lih-rih
ctc_probability;T2;B;0;0.017225679;A;lih-rih
ctc_probability;T2;B;1;0.029470636;A;lih-rih
ctc_probability;T2;B;2;0.02989918;A;lih-rih
ctc_probability;T2;B;3;0.05199797;A;lih-rih
ctc_probability;T2;B;4;0.030216495;A;lih-rih
ctc_probability;T2;B;5;0.03654319;A;lih-rih
ctc_probability;T2;B;6;0.039990094;A;lih-rih
ctc_probability;T2;P;0;0.0681868;A;lih-rih
