measure;layer;token;step;score;voice;continuum
ctc_probability;embeds;B;0;0.39362085;A;lih-rih
ctc_probability;embeds;B;1;0.8996709;A;lih-rih
ctc_probability;embeds;B;2;0.87014866;A;lih-rih
ctc_probability;embeds;B;3;0.9029011;A;lih-rih
ctc_probability;embeds;B;4;0.90898263;A;lih-rih
ctc_probability;embeds;B;5;0.9298745;A;lih-rih
ctc_probability;embeds;B;6;0.9097937;A;lih-rih
ctc_probability;embeds;P;0;0.010471422;A;lih-rih
ctc_probability;embeds;P;1;0.002230258;A;lih-rih
ctc_probability;embeds;P;2;0.0018708945;A;lih-rih
ctc_probability;embeds;P;3;0.0015436556;A;lih-rih
ctc_probability;embeds;P;4;0.0019346147;A;lih-rih
ctc_probability;embeds;P;5;0.0010008877;A;lih-rih
ctc_probability;embeds;P;6;0.0065984316;A;lih-rih
ctc_probability;T1;B;0;0.7313978;A;lih-rih
ctc_probability;T1;B;1;0.9280229;A;lih-rih
ctc_probability;T1;B;2;0.87660396;A;lih-rih
ctc_probability;T1;B;3;0.9372777;A;lih-rih
ctc_probability;T1;B;4;0.94497955;A;lih-rih
ctc_probability;T1;B;5;0.95846725;A;lih-rih
ctc_probability;T1;B;6;0.93271214;A;lih-rih
ctc_probability;T1;P;0;0.008610147;A;lih-rih
ctc_probability;T1;P;1;0.0028179246;A;lih-rih
ctc_probability;T1;P;2;0.0019225866;A;lih-rih
ctc_probability;T1;P;3;0.0032498767;A;lih-rih
ctc_probability;T1;P;4;0.002983484;A;lih-rih
ctc_probability;T1;P;5;0.0012611073;A;lih-rih
ctc_probability;T1;P;6;0.007844176;A;lih-rih
ctc_probability;T2;B;0;0.831854;A;lih-rih
ctc_probability;T2;B;1;0.90870947;A;lih-rih
ctc_probability;T2;B;2;0.87928855;A;lih-rih
ctc_probability;T2;B;3;0.943939;A;lih-rih
ctc_probability;T2;B;4;0.9563808;A;lih-rih
ctc_probability;T2;B;5;0.96124244;A;lih-rih
ctc_probability;T2;B;6;0.94006723;A;lih-rih
ctc_probability;T2;P;0;0.010239982;A;lih-rih
ctc_probability;T2;P;1;0.0008601785;A;lih-rih
ctc_probability;T2;P;2;0.003479073;A;lih-rih
ctc_probability;T2;P;3;0.0010311975;A;lih-rih
ctc_probability;T2;P;4;0.0021456692;A;lih-rih
ctc_probability;T2;P;5;0.0011026233;A;lih-rih
ctc_probability;T2;P;6;0.016667986;A;lih-rih
ctc_probability;T3;B;0;0.4856753;A;lih-rih
ctc_probability;T3;B;1;0.56516236;A;lih-rih
ctc_probability;T3;B;2;0.4897189;A;lih-rih
ctc_probability;T3;B;3;0.8671699;A;lih-rih
ctc_probability;T3;B;4;0.5636271;A;lih-rih
ctc_probability;T3;B;5;0.58187675;A;lih-rih
ctc_probability;T3;B;6;0.8559905;A;lih-rih
ctc_probability;T3;P;0;0.02309674;A;lih-rih
ctc_probability;T3;P;1;0.0021249244;A;lih-rih
ctc_probability;T3;P;2;0.005068725;A;lih-rih
ctc_probability;T3;P;3;0.0038308445;A;lih-rih
ctc_probability;T3;P;4;0.003980089;A;lih-rih
ctc_probability;T3;P;5;0.0027445965;A;lih-rih
ctc_probability;T3;P;6;0.019614005;A;lih-rih
ctc_probability;T4;B;0;0.56371796;A;lih-rih
ctc_probability;T4;B;1;0.31359518;A;lih-rih
ctc_probability;T4;B;2;0.45492932;A;lih-rih
ctc_probability;T4;B;3;0.7273006;A;lih-rih
ctc_probability;T4;B;4;0.6262687;A;lih-rih
ctc_probability;T4;B;5;0.5297009;A;lih-rih
ctc_probability;T4;B;6;0.8046172;A;lih-rih
ctc_probability;T4;P;0;0.018285248;A;lih-rih
ctc_probability;T4;P;1;0.0029083584;A;lih-rih
ctc_probability;T4;P;2;0.0072196797;A;lih-rih
ctc_probability;T4;P;3;0.0022239059;A;lih-rih
ctc_probability;T4;P;4;0.0027019633;A;lih-rih
ctc_probability;T4;P;5;0.001081863;A;lih-rih
ctc_probability;T4;P;6;0.016330414;A;lih-rih
ctc_probability;T5;B;0;0.54196817;A;lih-rih
ctc_probability;T5;B;1;0.304125;A;lih-rih
ctc_probability;T5;B;2;0.22846162;A;lih-rih
ctc_probability;T5;B;3;0.35563108;A;lih-rih
ctc_probability;T5;B;4;0.2846199;A;lih-rih
ctc_probability;T5;B;5;0.36852467;A;lih-rih
ctc_probability;T5;B;6;0.74013275;A;lih-rih
ctc_probability;T5;P;0;0.0047425553;A;lih-rih
ctc_probability;T5;P;1;0.0016559229;A;lih-rih
ctc_probability;T5;P;2;0.0024966244;A;lih-rih
ctc_probability;T5;P;3;0.0008904886;A;lih-rih
ctc_probability;T5;P;4;0.0005996248;A;lih-rih
ctc_probability;T5;P;5;0.0019061723;A;lih-rih
ctc_probability;T5;P;6;0.011067415;A;lih-rih
ctc_probability;T6;B;0;0.15061235;A;lih-rih
ctc_probability;T6;B;1;0.1592637;A;lih-rih
ctc_probability;T6;B;2;0.023292085;A;lih-rih
ctc_probability;T6;B;3;0.015226798;A;lih-rih
