measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.6667068341056119;A;lih-rih
embedding_similarity;CNN;L;2;0.5313927561053859;A;lih-rih
embedding_similarity;CNN;L;3;0.23656110928270813;A;lih-rih
embedding_similarity;CNN;L;4;0.21473818465845718;A;lih-rih
embedding_similarity;CNN;L;5;0.1006509101750217;A;lih-rih
embedding_similarity;CNN;L;6;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.3332931658943882;A;lih-rih
embedding_similarity;CNN;R;2;0.46860724389461406;A;lih-rih
embedding_similarity;CNN;R;3;0.7634388907172919;A;lih-rih
embedding_similarity;CNN;R;4;0.7852618153415428;A;lih-rih
embedding_similarity;CNN;R;5;0.8993490898249783;A;lih-rih
embedding_similarity;CNN;R;6;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.7577819687534656;A;lih-rih
embedding_similarity;embeds;L;2;0.5809590848345593;A;lih-rih
embedding_similarity;embeds;L;3;0.34827576382475733;A;lih-rih
embedding_similarity;embeds;L;4;0.26230343299212977;A;lih-rih
embedding_similarity;embeds;L;5;0.09673216139213947;A;lih-rih
embedding_similarity;embeds;L;6;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.2422180312465344;A;lih-rih
embedding_similarity;embeds;R;2;0.41904091516544073;A;lih-rih
embedding_similarity;embeds;R;3;0.6517242361752427;A;lih-rih
embedding_similarity;embeds;R;4;0.7376965670078703;A;lih-rih
embedding_similarity;embeds;R;5;0.9032678386078605;A;lih-rih
embedding_similarity;embeds;R;6;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.7519866558293757;A;lih-rih
embedding_similarity;T1;L;2;0.5387519626452163;A;lih-rih
embedding_similarity;T1;L;3;0.28625803262596927;A;lih-rih
embedding_similarity;T1;L;4;0.1870568311433789;A;lih-rih
embedding_similarity;T1;L;5;0.104964601560668;A;lih-rih
embedding_similarity;T1;L;6;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.24801334417062437;A;lih-rih
embedding_similarity;T1;R;2;0.4612480373547837;A;lih-rih
embedding_similarity;T1;R;3;0.7137419673740307;A;lih-rih
embedding_similarity;T1;R;4;0.8129431688566211;A;lih-rih
embedding_similarity;T1;R;5;0.895035398439332;A;lih-rih
embedding_similarity;T1;R;6;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.7497360263706292;A;lih-rih
embedding_similarity;T2;L;2;0.5379359348020374;A;lih-rih
embedding_similarity;T2;L;3;0.28467478781556643;A;lih-rih
embedding_similarity;T2;L;4;0.196218569877754;A;lih-rih
embedding_similarity;T2;L;5;0.11053115974479344;A;lih-rih
embedding_similarity;T2;L;6;0.0;A;lih-rih
embedding_similarity;T2;R;0;0.0;A;lih-rih
embedding_similarity;T2;R;1;0.2502639736293708;A;lih-rih
embedding_similarity;T2;R;2;0.4620640651979626;A;lih-rih
embedding_similarity;T2;R;3;0.7153252121844336;A;lih-rih
embedding_similarity;T2;R;4;0.8037814301222459;A;lih-rih
embedding_similarity;T2;R;5;0.8894688402552066;A;lih-rih
embedding_similarity;T2;R;6;1.0;A;lih-rih
embedding_similarity;T3;L;0;1.0;A;lih-rih
