measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.6667068341056119;A;lih-rih
embedding_similarity;CNN;L;2;0.5313927561053859;A;lih-rih
embedding_similarity;CNN;L;3;0.23656110928270813;A;lih-rih
embedding_similarity;CNN;L;4;0.21473818465845718;A;lih-rih
embedding_similarity;CNN;L;5;0.1006509101750217;A;lih-rih
embedding_similarity;CNN;L;6;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.3332931658943882;A;lih-rih
embedding_similarity;CNN;R;2;0.46860724389461406;A;lih-rih
embedding_similarity;CNN;R;3;0.7634388907172919;A;lih-rih
embedding_similarity;CNN;R;4;0.7852618153415428;A;lih-rih
embedding_similarity;CNN;R;5;0.8993490898249783;A;lih-rih
embedding_similarity;CNN;R;6;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.748253950675319;A;lih-rih
embedding_similarity;embeds;L;2;0.5831682541520193;A;lih-rih
embedding_similarity;embeds;L;3;0.350659185878496;A;lih-rih
embedding_similarity;embeds;L;4;0.24835399187721408;A;lih-rih
embedding_similarity;embeds;L;5;0.09547487714853431;A;lih-rih
embedding_similarity;embeds;L;6;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.2517460493246809;A;lih-rih
embedding_similarity;embeds;R;2;0.41683174584798066;A;lih-rih
embedding_similarity;embeds;R;3;0.649340814121504;A;lih-rih
embedding_similarity;embeds;R;4;0.7516460081227859;A;lih-rih
embedding_similarity;embeds;R;5;0.9045251228514657;A;lih-rih
embedding_similarity;embeds;R;6;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.7328045792380558;A;lih-rih
embedding_similarity;T1;L;2;0.5315313123449246;A;lih-rih
embedding_similarity;T1;L;3;0.30878788584314154;A;lih-rih
embedding_similarity;T1;L;4;0.22647770138822676;A;lih-rih
embedding_similarity;T1;L;5;0.0858947785448041;A;lih-rih
embedding_similarity;T1;L;6;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.26719542076194425;A;lih-rih
embedding_similarity;T1;R;2;0.46846868765507543;A;lih-rih
embedding_similarity;T1;R;3;0.6912121141568585;A;lih-rih
embedding_similarity;T1;R;4;0.7735222986117732;A;lih-rih
embedding_similarity;T1;R;5;0.9141052214551959;A;lih-rih
embedding_similarity;T1;R;6;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.729572611851157;A;lih-rih
embedding_similarity;T2;L;2;0.5006161507892042;A;lih-rih
embedding_similarity;T2;L;3;0.2843652270016993;A;lih-rih
embedding_similarity;T2;L;4;0.2132478347973107;A;lih-rih
embedding_similarity;T2;L;5;0.11849798976947457;A;lih-rih
embedding_similarity;T2;L;6;0.0;A;lih-rih
embedding_similarity;T2;R;0;0.0;A;lih-rih
embedding_similarity;T2;R;1;0.27042738814884304;A;lih-rih
embedding_similarity;T2;R;2;0.4993838492107958;A;lih-rih
embedding_similarity;T2;R;3;0.7156347729983006;A;lih-rih
embedding_similarity;T2;R;4;0.7867521652026893;A;lih-rih
embedding_similarity;T2;R;5;0.8815020102305254;A;lih-rih
embedding_similarity;T2;R;6;1.0;A;lih-rih
embedding_similarity;T3;L;0;1.0;A;lih-rih
