measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.48588229099929625;A;lih-rih
embedding_similarity;CNN;L;2;0.5514686312537694;A;lih-rih
embedding_similarity;CNN;L;3;0.05296874477768421;A;lih-rih
embedding_similarity;CNN;L;4;0.47513282621517994;A;lih-rih
embedding_similarity;CNN;L;5;0.5339435643889959;A;lih-rih
embedding_similarity;CNN;L;6;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.5141177090007039;A;lih-rih
embedding_similarity;CNN;R;2;0.44853136874623056;A;lih-rih
embedding_similarity;CNN;R;3;0.9470312552223158;A;lih-rih
embedding_similarity;CNN;R;4;0.5248671737848201;A;lih-rih
embedding_similarity;CNN;R;5;0.46605643561100407;A;lih-rih
embedding_similarity;CNN;R;6;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.4716142696593497;A;lih-rih
embedding_similarity;embeds;L;2;0.5142359288317817;A;lih-rih
embedding_similarity;embeds;L;3;0.2573174178265082;A;lih-rih
embedding_similarity;embeds;L;4;0.2822036492901545;A;lih-rih
embedding_similarity;embeds;L;5;0.31272585790594654;A;lih-rih
embedding_similarity;embeds;L;6;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.5283857303406503;A;lih-rih
embedding_similarity;embeds;R;2;0.4857640711682184;A;lih-rih
embedding_similarity;embeds;R;3;0.7426825821734917;A;lih-rih
embedding_similarity;embeds;R;4;0.7177963507098455;A;lih-rih
embedding_similarity;embeds;R;5;0.6872741420940536;A;lih-rih
embedding_similarity;embeds;R;6;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.47770237920282177;A;lih-rih
embedding_similarity;T1;L;2;0.5114725053323472;A;lih-rih
embedding_similarity;T1;L;3;0.247979821599137;A;lih-rih
embedding_similarity;T1;L;4;0.27352758269114985;A;lih-rih
embedding_similarity;T1;L;5;0.28975097555691764;A;lih-rih
embedding_similarity;T1;L;6;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.5222976207971781;A;lih-rih
embedding_similarity;T1;R;2;0.4885274946676529;A;lih-rih
embedding_similarity;T1;R;3;0.752020178400863;A;lih-rih
embedding_similarity;T1;R;4;0.7264724173088501;A;lih-rih
embedding_similarity;T1;R;5;0.7102490244430824;A;lih-rih
embedding_similarity;T1;R;6;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.4558764235479221;A;lih-rih
embedding_similarity;T2;L;2;0.49294515674647665;A;lih-rih
embedding_similarity;T2;L;3;0.236496320018178;A;lih-rih
embedding_similarity;T2;L;4;0.25549477263124953;A;lih-rih
embedding_similarity;T2;L;5;0.27279946038041814;A;lih-rih
embedding_similarity;T2;L;6;0.0;A;lih-rih
embedding_similarity;T2;R;0;0.0;A;lih-rih
embedding_similarity;T2;R;1;0.5441235764520779;A;lih-rih
embedding_similarity;T2;R;2;0.5070548432535233;A;lih-rih
embedding_similarity;T2;R;3;0.763503679981822;A;lih-rih
embedding_similarity;T2;R;4;0.7445052273687505;A;lih-rih
embedding_similarity;T2;R;5;0.7272005396195819;A;lih-rih
embedding_similarity;T2;R;6;1.0;A;lih-rih
embedding_similarity;T3;L;0;1.0;A;lih-rih
embedding_similarity;T3;L;1;0.4596189416562133;A;lih-rih
embedding_similarity;T3;L;2;0.5061719865059542;A;lih-rih
embedding_similarity;T3;L;3;0.2432853064810473;A;lih-rih
embedding_similarity;T3;L;4;0.2607553177798487;A;lih-rih
embedding_similarity;T3;L;5;0.2810739984912374;A;lih-rih
embedding_similarity;T3;L;6;0.0;A;lih-rih
embedding_similarity;T3;R;0;0.0;A;lih-rih
embedding_similarity;T3;R;1;0.5403810583437867;A;lih-rih
embedding_similarity;T3;R;2;0.4938280134940458;A;lih-rih
embedding_similarity;T3;R;3;0.7567146935189527;A;lih-rih
embedding_similarity;T3;R;4;0.7392446822201513;A;lih-rih
embedding_similarity;T3;R;5;0.7189260015087626;A;lih-rih
embedding_similarity;T3;R;6;1.0;A;lih-rih
embedding_similarity;T4;L;0;1.0;A;lih-rih
embedding_similarity;T4;L;1;0.4561370477705655;A;lih-rih
embedding_similarity;T4;L;2;0.5026338033189952;A;lih-rih
embedding_similarity;T4;L;3;0.23493772015036296;A;lih-rih
embedding_similarity;T4;L;4;0.2558680579884024;A;lih-rih
embedding_similarity;T4;L;5;0.27085802647981727;A;lih-rih
embedding_similarity;T4;L;6;0.0;A;lih-rih
embedding_similarity;T4;R;0;0.0;A;lih-rih
embedding_similarity;T4;R;1;0.5438629522294345;A;lih-rih
embedding_similarity;T4;R;2;0.4973661966810048;A;lih-rih
embedding_similarity;T4;R;3;0.765062279849637;A;lih-rih
embedding_similarity;T4;R;4;0.7441319420115976;A;lih-rih
embedding_similarity;T4;R;5;0.7291419735201827;A;lih-rih
embedding_similarity;T4;R;6;1.0;A;lih-rih
embedding_similarity;T5;L;0;1.0;A;lih-rih
embedding_similarity;T5;L;1;0.45275065530960046;A;lih-rih
embedding_similarity;T5;L;2;0.5170003162397645;A;lih-rih
embedding_similarity;T5;L;3;0.2275026802693758;A;lih-rih
embedding_similarity;T5;L;4;0.24444054095053236;A;lih-rih
embedding_similarity;T5;L;5;0.26195977956204197;A;lih-rih
embedding_similarity;T5;L;6;0.0;A;lih-rih
embedding_similarity;T5;R;0;0.0;A;lih-rih
