measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.6351226781817465;A;lih-rih
embedding_similarity;CNN;L;2;0.5549823602652175;A;lih-rih
embedding_similarity;CNN;L;3;0.19373894727591046;A;lih-rih
embedding_similarity;CNN;L;4;0.24300624149805183;A;lih-rih
embedding_similarity;CNN;L;5;0.16057693790848127;A;lih-rih
embedding_similarity;CNN;L;6;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.3648773218182535;A;lih-rih
embedding_similarity;CNN;R;2;0.44501763973478237;A;lih-rih
embedding_similarity;CNN;R;3;0.8062610527240895;A;lih-rih
embedding_similarity;CNN;R;4;0.7569937585019482;A;lih-rih
embedding_similarity;CNN;R;5;0.8394230620915187;A;lih-rih
embedding_similarity;CNN;R;6;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.6947437925474583;A;lih-rih
embedding_similarity;embeds;L;2;0.6884730543252224;A;lih-rih
embedding_similarity;embeds;L;3;0.31085661041278756;A;lih-rih
embedding_similarity;embeds;L;4;0.28259182709803077;A;lih-rih
embedding_similarity;embeds;L;5;0.21189524201472065;A;lih-rih
embedding_similarity;embeds;L;6;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.3052562074525417;A;lih-rih
embedding_similarity;embeds;R;2;0.31152694567477757;A;lih-rih
embedding_similarity;embeds;R;3;0.6891433895872123;A;lih-rih
embedding_similarity;embeds;R;4;0.7174081729019692;A;lih-rih
embedding_similarity;embeds;R;5;0.7881047579852793;A;lih-rih
embedding_similarity;embeds;R;6;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.704743769037575;A;lih-rih
embedding_similarity;T1;L;2;0.6054765663180044;A;lih-rih
embedding_similarity;T1;L;3;0.25033525591650696;A;lih-rih
embedding_similarity;T1;L;4;0.22190584845370143;A;lih-rih
embedding_similarity;T1;L;5;0.18031480224016827;A;lih-rih
embedding_similarity;T1;L;6;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.29525623096242504;A;lih-rih
embedding_similarity;T1;R;2;0.3945234336819957;A;lih-rih
embedding_similarity;T1;R;3;0.7496647440834932;A;lih-rih
embedding_similarity;T1;R;4;0.7780941515462986;A;lih-rih
embedding_similarity;T1;R;5;0.8196851977598317;A;lih-rih
embedding_similarity;T1;R;6;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
