measure;layer;token;step;score;voice;continuum
embedding_similarity;CNN;L;0;1.0;A;lih-rih
embedding_similarity;CNN;L;1;0.6063531063346845;A;lih-rih
embedding_similarity;CNN;L;2;0.4284796541850172;A;lih-rih
embedding_similarity;CNN;L;3;0.22161706120977853;A;lih-rih
embedding_similarity;CNN;L;4;0.16372840591013527;A;lih-rih
embedding_similarity;CNN;L;5;0.06954295611138817;A;lih-rih
embedding_similarity;CNN;L;6;0.0;A;lih-rih
embedding_similarity;CNN;R;0;0.0;A;lih-rih
embedding_similarity;CNN;R;1;0.39364689366531547;A;lih-rih
embedding_similarity;CNN;R;2;0.5715203458149828;A;lih-rih
embedding_similarity;CNN;R;3;0.7783829387902215;A;lih-rih
embedding_similarity;CNN;R;4;0.8362715940898648;A;lih-rih
embedding_similarity;CNN;R;5;0.9304570438886118;A;lih-rih
embedding_similarity;CNN;R;6;1.0;A;lih-rih
embedding_similarity;embeds;L;0;1.0;A;lih-rih
embedding_similarity;embeds;L;1;0.6845222524485337;A;lih-rih
embedding_similarity;embeds;L;2;0.5861232226586339;A;lih-rih
embedding_similarity;embeds;L;3;0.3293246282192014;A;lih-rih
embedding_similarity;embeds;L;4;0.20610146937594764;A;lih-rih
embedding_similarity;embeds;L;5;0.10044884890642225;A;lih-rih
embedding_similarity;embeds;L;6;0.0;A;lih-rih
embedding_similarity;embeds;R;0;0.0;A;lih-rih
embedding_similarity;embeds;R;1;0.3154777475514663;A;lih-rih
embedding_similarity;embeds;R;2;0.41387677734136596;A;lih-rih
embedding_similarity;embeds;R;3;0.6706753717807986;A;lih-rih
embedding_similarity;embeds;R;4;0.7938985306240524;A;lih-rih
embedding_similarity;embeds;R;5;0.8995511510935777;A;lih-rih
embedding_similarity;embeds;R;6;1.0;A;lih-rih
embedding_similarity;T1;L;0;1.0;A;lih-rih
embedding_similarity;T1;L;1;0.7128264516165382;A;lih-rih
embedding_similarity;T1;L;2;0.5073877385464397;A;lih-rih
embedding_similarity;T1;L;3;0.30381062862687025;A;lih-rih
embedding_similarity;T1;L;4;0.18624917778476557;A;lih-rih
embedding_similarity;T1;L;5;0.09318863182751314;A;lih-rih
embedding_similarity;T1;L;6;0.0;A;lih-rih
embedding_similarity;T1;R;0;0.0;A;lih-rih
embedding_similarity;T1;R;1;0.28717354838346176;A;lih-rih
embedding_similarity;T1;R;2;0.4926122614535603;A;lih-rih
embedding_similarity;T1;R;3;0.6961893713731298;A;lih-rih
embedding_similarity;T1;R;4;0.8137508222152344;A;lih-rih
embedding_similarity;T1;R;5;0.906811368172487;A;lih-rih
embedding_similarity;T1;R;6;1.0;A;lih-rih
embedding_similarity;T2;L;0;1.0;A;lih-rih
embedding_similarity;T2;L;1;0.7187619821401323;A;lih-rih
embedding_similarity;T2;L;2;0.4858596295930414;A;lih-rih
embedding_similarity;T2;L;3;0.2918776427008356;A;lih-rih
embedding_similarity;T2;L;4;0.20593342424384098;A;lih-rih
embedding_similarity;T2;L;5;0.11135644307517045;A;lih-rih
embedding_similarity;T2;L;6;0.0;A;lih-rih
embedding_similarity;T2;R;0;0.0;A;lih-rih
embedding_similarity;T2;R;1;0.2812380178598677;A;lih-rih
embedding_similarity;T2;R;2;0.5141403704069586;A;lih-rih
embedding_similarity;T2;R;3;0.7081223572991644;A;lih-rih
embedding_similarity;T2;R;4;0.794066575756159;A;lih-rih
embedding_similarity;T2;R;5;0.8886435569248297;A;lih-rih
embedding_similarity;T2;R;6;1.0;A;lih-rih
embedding_similarity;T3;L;0;1.0;A;lih-rih
embedding_similarity;T3;L;1;0.7059481073624553;A;lih-rih
embedding_similarity;T3;L;2;0.42809177909950547;A;lih-rih
