measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.7781013429211068;A;lih-rih
probe_probability;CNN;L;1;0.758274585844886;A;lih-rih
probe_probability;CNN;L;2;0.7605734701719987;A;lih-rih
probe_probability;CNN;L;3;0.7311828075710847;A;lih-rih
probe_probability;CNN;L;4;0.7440944951758406;A;lih-rih
probe_probability;CNN;L;5;0.753822212546735;A;lih-rih
probe_probability;CNN;L;6;0.732519139494239;A;lih-rih
probe_probability;CNN;R;0;0.22189865707889322;A;lih-rih
probe_probability;CNN;R;1;0.24172541415511398;A;lih-rih
probe_probability;CNN;R;2;0.2394265298280013;A;lih-rih
probe_probability;CNN;R;3;0.2688171924289153;A;lih-rih
probe_probability;CNN;R;4;0.2559055048241594;A;lih-rih
probe_probability;CNN;R;5;0.24617778745326505;A;lih-rih
probe_probability;CNN;R;6;0.2674808605057611;A;lih-rih
probe_probability;embeds;L;0;0.8956390839866772;A;lih-rih
probe_probability;embeds;L;1;0.9795662300387146;A;lih-rih
probe_probability;embeds;L;2;0.9656877053459975;A;lih-rih
probe_probability;embeds;L;3;0.9240806596039226;A;lih-rih
probe_probability;embeds;L;4;0.9467991253020192;A;lih-rih
probe_probability;embeds;L;5;0.971939256483204;A;lih-rih
probe_probability;embeds;L;6;0.9509156792198894;A;lih-rih
probe_probability;embeds;R;0;0.10436091601332272;A;lih-rih
probe_probability;embeds;R;1;0.02043376996128542;A;lih-rih
probe_probability;embeds;R;2;0.03431229465400252;A;lih-rih
probe_probability;embeds;R;3;0.0759193403960774;A;lih-rih
probe_probability;embeds;R;4;0.05320087469798088;A;lih-rih
probe_probability;embeds;R;5;0.028060743516795973;A;lih-rih
probe_probability;embeds;R;6;0.04908432078011066;A;lih-rih
probe_probability;T1;L;0;0.010087048159219125;A;lih-rih
probe_probability;T1;L;1;0.02825763859613717;A;lih-rih
probe_probability;T1;L;2;0.3022080060546809;A;lih-rih
probe_probability;T1;L;3;0.29242346543556663;A;lih-rih
probe_probability;T1;L;4;0.5339855870101764;A;lih-rih
probe_probability;T1;L;5;0.6736330159262706;A;lih-rih
probe_probability;T1;L;6;0.45209106082043593;A;lih-rih
probe_probability;T1;R;0;0.9899129518407809;A;lih-rih
probe_probability;T1;R;1;0.9717423614038628;A;lih-rih
probe_probability;T1;R;2;0.6977919939453191;A;lih-rih
probe_probability;T1;R;3;0.7075765345644334;A;lih-rih
probe_probability;T1;R;4;0.46601441298982366;A;lih-rih
probe_probability;T1;R;5;0.32636698407372944;A;lih-rih
probe_probability;T1;R;6;0.5479089391795641;A;lih-rih
probe_probability;T2;L;0;0.03414380463030442;A;lih-rih
probe_probability;T2;L;1;0.05786303884664279;A;lih-rih
probe_probability;T2;L;2;0.11752613668962963;A;lih-rih
probe_probability;T2;L;3;0.12091104830643251;A;lih-rih
probe_probability;T2;L;4;0.35512114401253336;A;lih-rih
probe_probability;T2;L;5;0.33411863665605934;A;lih-rih
probe_probability;T2;L;6;0.3913927094875772;A;lih-rih
probe_probability;T2;R;0;0.9658561953696956;A;lih-rih
probe_probability;T2;R;1;0.9421369611533572;A;lih-rih
probe_probability;T2;R;2;0.8824738633103704;A;lih-rih
probe_probability;T2;R;3;0.8790889516935675;A;lih-rih
probe_probability;T2;R;4;0.6448788559874666;A;lih-rih
probe_probability;T2;R;5;0.6658813633439407;A;lih-rih
probe_probability;T2;R;6;0.6086072905124228;A;lih-rih
probe_probability;T3;L;0;0.2664903882867494;A;lih-rih
probe_probability;T3;L;1;0.4957101736197512;A;lih-rih
probe_probability;T3;L;2;0.7259574061854095;A;lih-rih
probe_probability;T3;L;3;0.39567093808723186;A;lih-rih
probe_probability;T3;L;4;0.6379442665370012;A;lih-rih
probe_probability;T3;L;5;0.6925071319081013;A;lih-rih
probe_probability;T3;L;6;0.5791520138064916;A;lih-rih
probe_probability;T3;R;0;0.7335096117132506;A;lih-rih
probe_probability;T3;R;1;0.5042898263802488;A;lih-rih
probe_probability;T3;R;2;0.27404259381459056;A;lih-rih
probe_probability;T3;R;3;0.6043290619127681;A;lih-rih
probe_probability;T3;R;4;0.36205573346299874;A;lih-rih
probe_probability;T3;R;5;0.30749286809189863;A;lih-rih
probe_probability;T3;R;6;0.4208479861935084;A;lih-rih
probe_probability;T4;L;0;0.0995155914383522;A;lih-rih
probe_probability;T4;L;1;0.3002118888358567;A;lih-rih
probe_probability;T4;L;2;0.6108086931106267;A;lih-rih
probe_probability;T4;L;3;0.3014802641208634;A;lih-rih
probe_probability;T4;L;4;0.666760523291928;A;lih-rih
probe_probability;T4;L;5;0.6209634998796134;A;lih-rih
probe_probability;T4;L;6;0.6429355709911799;A;lih-rih
probe_probability;T4;R;0;0.9004844085616478;A;lih-rih
probe_probability;T4;R;1;0.6997881111641433;A;lih-rih
probe_probability;T4;R;2;0.3891913068893733;A;lih-rih
probe_probability;T4;R;3;0.6985197358791366;A;lih-rih
probe_probability;T4;R;4;0.3332394767080719;A;lih-rih
probe_probability;T4;R;5;0.37903650012038664;A;lih-rih
probe_probability;T4;R;6;0.35706442900882;A;lih-rih
probe_probability;T5;L;0;0.0828730664555195;A;lih-rih
probe_probability;T5;L;1;0.1334286781755053;A;lih-rih
probe_probability;T5;L;2;0.16972097384409945;A;lih-rih
probe_probability;T5;L;3;0.1402060932221958;A;lih-rih
probe_probability;T5;L;4;0.11544355459463285;A;lih-rih
probe_probability;T5;L;5;0.16192331737578813;A;lih-rih
probe_probability;T5;L;6;0.2497755225522741;A;lih-rih
probe_probability;T5;R;0;0.9171269335444805;A;lih-rih
probe_probability;T5;R;1;0.8665713218244947;A;lih-rih
probe_probability;T5;R;2;0.8302790261559005;A;lih-rih
probe_probability;T5;R;3;0.8597939067778042;A;lih-rih
probe_probability;T5;R;4;0.8845564454053672;A;lih-rih
probe_probability;T5;R;5;0.8380766826242119;A;lih-rih
probe_probability;T5;R;6;0.7502244774477259;A;lih-rih
probe_probability;T6;L;0;0.14611452335052277;A;lih-rih
probe_probability;T6;L;1;0.345608188955966;A;lih-rih
probe_probability;T6;L;2;0.3692894715068993;A;lih-rih
probe_probability;T6;L;3;0.3272412208169647;A;lih-rih
probe_probability;T6;L;4;0.27700116982146294;A;lih-rih
probe_probability;T6;L;5;0.44713272149342886;A;lih-rih
probe_probability;T6;L;6;0.5700704599048481;A;lih-rih
probe_probability;T6;R;0;0.8538854766494772;A;lih-rih
probe_probability;T6;R;1;0.654391811044034;A;lih-rih
probe_probability;T6;R;2;0.6307105284931007;A;lih-rih
probe_probability;T6;R;3;0.6727587791830353;A;lih-rih
probe_probability;T6;R;4;0.722998830178537;A;lih-rih
probe_probability;T6;R;5;0.5528672785065711;A;lih-rih
probe_probability;T6;R;6;0.42992954009515194;A;lih-rih
probe_probability;T7;L;0;0.3539721916403302;A;lih-rih
probe_probability;T7;L;1;0.4058160221183237;A;lih-rih
probe_probability;T7;L;2;0.3145074589035267;A;lih-rih
probe_probability;T7;L;3;0.2797290815578024;A;lih-rih
probe_probability;T7;L;4;0.26614097420208616;A;lih-rih
probe_probability;T7;L;5;0.5626721432595736;A;lih-rih
probe_probability;T7;L;6;0.6901874241666524;A;lih-rih
probe_probability;T7;R;0;0.6460278083596698;A;lih-rih
probe_probability;T7;R;1;0.5941839778816763;A;lih-rih
probe_probability;T7;R;2;0.6854925410964733;A;lih-rih
probe_probability;T7;R;3;0.7202709184421976;A;lih-rih
probe_probability;T7;R;4;0.7338590257979138;A;lih-rih
probe_probability;T7;R;5;0.43732785674042646;A;lih-rih
probe_probability;T7;R;6;0.30981257583334765;A;lih-rih
probe_probability;T8;L;0;0.8005982685352147;A;lih-rih
probe_probability;T8;L;1;0.9170992747148972;A;lih-rih
probe_probability;T8;L;2;0.6829370547486047;A;lih-rih
probe_probability;T8;L;3;0.5640872882625805;A;lih-rih
probe_probability;T8;L;4;0.6037883117841802;A;lih-rih
probe_probability;T8;L;5;0.7467830322073411;A;lih-rih
probe_probability;T8;L;6;0.7954538305049978;A;lih-rih
probe_probability;T8;R;0;0.19940173146478535;A;lih-rih
probe_probability;T8;R;1;0.0829007252851029;A;lih-rih
probe_probability;T8;R;2;0.3170629452513953;A;lih-rih
probe_probability;T8;R;3;0.4359127117374195;A;lih-rih
probe_probability;T8;R;4;0.3962116882158198;A;lih-rih
probe_probability;T8;R;5;0.2532169677926589;A;lih-rih
probe_probability;T8;R;6;0.2045461694950022;A;lih-rih
probe_probability;T9;L;0;0.7657421242216574;A;lih-rih
probe_probability;T9;L;1;0.869266814423608;A;lih-rih
probe_probability;T9;L;2;0.3188741942166212;A;lih-rih
probe_probability;T9;L;3;0.44492416004261903;A;lih-rih
probe_probability;T9;L;4;0.73011366359513;A;lih-rih
probe_probability;T9;L;5;0.7433074186223854;A;lih-rih
probe_probability;T9;L;6;0.7635107957080732;A;lih-rih
probe_probability;T9;R;0;0.2342578757783426;A;lih-rih
probe_probability;T9;R;1;0.13073318557639196;A;lih-rih
probe_probability;T9;R;2;0.6811258057833788;A;lih-rih
probe_probability;T9;R;3;0.555075839957381;A;lih-rih
probe_probability;T9;R;4;0.26988633640487;A;lih-rih
probe_probability;T9;R;5;0.25669258137761464;A;lih-rih
probe_probability;T9;R;6;0.23648920429192677;A;lih-rih
probe_probability;T10;L;0;0.6419466958787348;A;lih-rih
probe_probability;T10;L;1;0.44903557395175286;A;lih-rih
probe_probability;T10;L;2;0.11557654509032322;A;lih-rih
probe_probability;T10;L;3;0.06115271868173788;A;lih-rih
probe_probability;T10;L;4;0.3381213784968624;A;lih-rih
probe_probability;T10;L;5;0.23674979123203732;A;lih-rih
probe_probability;T10;L;6;0.8103248666465239;A;lih-rih
probe_probability;T10;R;0;0.3580533041212652;A;lih-rih
probe_probability;T10;R;1;0.5509644260482471;A;lih-rih
probe_probability;T10;R;2;0.8844234549096768;A;lih-rih
probe_probability;T10;R;3;0.9388472813182621;A;lih-rih
probe_probability;T10;R;4;0.6618786215031376;A;lih-rih
probe_probability;T10;R;5;0.7632502087679627;A;lih-rih
probe_probability;T10;R;6;0.18967513335347602;A;lih-rih
probe_probability;T11;L;0;0.7781510638921213;A;lih-rih
probe_probability;T11;L;1;0.5078469640582014;A;lih-rih
probe_probability;T11;L;2;0.00998391606242921;A;lih-rih
probe_probability;T11;L;3;0.0034194908571228977;A;lih-rih
probe_probability;T11;L;4;0.0322889648794783;A;lih-rih
probe_probability;T11;L;5;0.021570437143272114;A;lih-rih
probe_probability;T11;L;6;0.21093635948605982;A;lih-rih
probe_probability;T11;R;0;0.22184893610787873;A;lih-rih
probe_probability;T11;R;1;0.4921530359417986;A;lih-rih
probe_probability;T11;R;2;0.9900160839375708;A;lih-rih
probe_probability;T11;R;3;0.9965805091428771;A;lih-rih
probe_probability;T11;R;4;0.9677110351205217;A;lih-rih
probe_probability;T11;R;5;0.9784295628567279;A;lih-rih
probe_probability;T11;R;6;0.7890636405139402;A;lih-rih
probe_probability;T12;L;0;0.8984034065999708;A;lih-rih
probe_probability;T12;L;1;0.9563208117285664;A;lih-rih
probe_probability;T12;L;2;0.6997162741912828;A;lih-rih
probe_probability;T12;L;3;0.43300934937157975;A;lih-rih
probe_probability;T12;L;4;0.4979734954976054;A;lih-rih
probe_probability;T12;L;5;0.35000770622681054;A;lih-rih
probe_probability;T12;L;6;0.8985984993646486;A;lih-rih
probe_probability;T12;R;0;0.10159659340002929;A;lih-rih
probe_probability;T12;R;1;0.04367918827143353;A;lih-rih
probe_probability;T12;R;2;0.30028372580871715;A;lih-rih
probe_probability;T12;R;3;0.5669906506284202;A;lih-rih
probe_probability;T12;R;4;0.5020265045023946;A;lih-rih
probe_probability;T12;R;5;0.6499922937731895;A;lih-rih
probe_probability;T12;R;6;0.10140150063535135;A;lih-rih
