measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.7781013429211068;A;lih-rih
probe_probability;CNN;L;1;0.758274585844886;A;lih-rih
probe_probability;CNN;L;2;0.7605734701719987;A;lih-rih
probe_probability;CNN;L;3;0.7311828075710847;A;lih-rih
probe_probability;CNN;L;4;0.7440944951758406;A;lih-rih
probe_probability;CNN;L;5;0.753822212546735;A;lih-rih
probe_probability;CNN;L;6;0.732519139494239;A;lih-rih
probe_probability;CNN;R;0;0.22189865707889322;A;lih-rih
probe_probability;CNN;R;1;0.24172541415511398;A;lih-rih
probe_probability;CNN;R;2;0.2394265298280013;A;lih-rih
probe_probability;CNN;R;3;0.2688171924289153;A;lih-rih
probe_probability;CNN;R;4;0.2559055048241594;A;lih-rih
probe_probability;CNN;R;5;0.24617778745326505;A;lih-rih
probe_probability;CNN;R;6;0.2674808605057611;A;lih-rih
probe_probability;embeds;L;0;0.9446671613872665;A;lih-rih
probe_probability;embeds;L;1;0.9827602278186596;A;lih-rih
probe_probability;embeds;L;2;0.966094999809889;A;lih-rih
probe_probability;embeds;L;3;0.9382796886505437;A;lih-rih
probe_probability;embeds;L;4;0.9584037127995179;A;lih-rih
probe_probability;embeds;L;5;0.9754635454098536;A;lih-rih
probe_probability;embeds;L;6;0.9549662877289441;A;lih-rih
probe_probability;embeds;R;0;0.055332838612733554;A;lih-rih
probe_probability;embeds;R;1;0.01723977218134046;A;lih-rih
probe_probability;embeds;R;2;0.03390500019011097;A;lih-rih
probe_probability;embeds;R;3;0.06172031134945636;A;lih-rih
probe_probability;embeds;R;4;0.041596287200482175;A;lih-rih
probe_probability;embeds;R;5;0.024536454590146396;A;lih-rih
probe_probability;embeds;R;6;0.04503371227105591;A;lih-rih
probe_probability;T1;L;0;0.02670598658304546;A;lih-rih
probe_probability;T1;L;1;0.03262720498987248;A;lih-rih
probe_probability;T1;L;2;0.17027088689659775;A;lih-rih
probe_probability;T1;L;3;0.23627633073362309;A;lih-rih
probe_probability;T1;L;4;0.3587047177347513;A;lih-rih
probe_probability;T1;L;5;0.3769145168965352;A;lih-rih
probe_probability;T1;L;6;0.22965816782990034;A;lih-rih
probe_probability;T1;R;0;0.9732940134169545;A;lih-rih
probe_probability;T1;R;1;0.9673727950101275;A;lih-rih
probe_probability;T1;R;2;0.8297291131034022;A;lih-rih
probe_probability;T1;R;3;0.7637236692663769;A;lih-rih
probe_probability;T1;R;4;0.6412952822652487;A;lih-rih
probe_probability;T1;R;5;0.6230854831034648;A;lih-rih
probe_probability;T1;R;6;0.7703418321700997;A;lih-rih
probe_probability;T2;L;0;0.118905309844763;A;lih-rih
probe_probability;T2;L;1;0.038980357942994814;A;lih-rih
probe_probability;T2;L;2;0.09062590346490174;A;lih-rih
probe_probability;T2;L;3;0.10257817355193422;A;lih-rih
probe_probability;T2;L;4;0.3375442172686144;A;lih-rih
probe_probability;T2;L;5;0.12098782189521007;A;lih-rih
probe_probability;T2;L;6;0.229449744727117;A;lih-rih
probe_probability;T2;R;0;0.881094690155237;A;lih-rih
probe_probability;T2;R;1;0.9610196420570052;A;lih-rih
probe_probability;T2;R;2;0.9093740965350983;A;lih-rih
probe_probability;T2;R;3;0.8974218264480658;A;lih-rih
probe_probability;T2;R;4;0.6624557827313856;A;lih-rih
probe_probability;T2;R;5;0.8790121781047899;A;lih-rih
probe_probability;T2;R;6;0.770550255272883;A;lih-rih
probe_probability;T3;L;0;0.4608683192803995;A;lih-rih
probe_probability;T3;L;1;0.11548836831838627;A;lih-rih
probe_probability;T3;L;2;0.12644969285257301;A;lih-rih
probe_probability;T3;L;3;0.17717262752610274;A;lih-rih
probe_probability;T3;L;4;0.39892365856307654;A;lih-rih
probe_probability;T3;L;5;0.2276610952492073;A;lih-rih
probe_probability;T3;L;6;0.1877957000612277;A;lih-rih
probe_probability;T3;R;0;0.5391316807196005;A;lih-rih
probe_probability;T3;R;1;0.8845116316816137;A;lih-rih
probe_probability;T3;R;2;0.873550307147427;A;lih-rih
probe_probability;T3;R;3;0.8228273724738973;A;lih-rih
probe_probability;T3;R;4;0.6010763414369235;A;lih-rih
probe_probability;T3;R;5;0.7723389047507927;A;lih-rih
probe_probability;T3;R;6;0.8122042999387723;A;lih-rih
probe_probability;T4;L;0;0.6461895859669493;A;lih-rih
probe_probability;T4;L;1;0.47506723593780054;A;lih-rih
probe_probability;T4;L;2;0.8482262578184225;A;lih-rih
probe_probability;T4;L;3;0.8362211910479871;A;lih-rih
probe_probability;T4;L;4;0.9061694018688105;A;lih-rih
probe_probability;T4;L;5;0.749889451575062;A;lih-rih
probe_probability;T4;L;6;0.8273772209228643;A;lih-rih
probe_probability;T4;R;0;0.35381041403305064;A;lih-rih
probe_probability;T4;R;1;0.5249327640621995;A;lih-rih
probe_probability;T4;R;2;0.1517737421815774;A;lih-rih
probe_probability;T4;R;3;0.1637788089520129;A;lih-rih
probe_probability;T4;R;4;0.09383059813118953;A;lih-rih
probe_probability;T4;R;5;0.2501105484249379;A;lih-rih
probe_probability;T4;R;6;0.17262277907713572;A;lih-rih
probe_probability;T5;L;0;0.505187514360626;A;lih-rih
probe_probability;T5;L;1;0.6352217371761038;A;lih-rih
probe_probability;T5;L;2;0.6106040632548779;A;lih-rih
probe_probability;T5;L;3;0.6535962572289999;A;lih-rih
probe_probability;T5;L;4;0.8800585730710687;A;lih-rih
probe_probability;T5;L;5;0.7677012175845321;A;lih-rih
probe_probability;T5;L;6;0.7327126685430149;A;lih-rih
probe_probability;T5;R;0;0.49481248563937397;A;lih-rih
probe_probability;T5;R;1;0.36477826282389625;A;lih-rih
probe_probability;T5;R;2;0.3893959367451221;A;lih-rih
probe_probability;T5;R;3;0.3464037427710001;A;lih-rih
probe_probability;T5;R;4;0.11994142692893126;A;lih-rih
probe_probability;T5;R;5;0.2322987824154678;A;lih-rih
probe_probability;T5;R;6;0.26728733145698513;A;lih-rih
probe_probability;T6;L;0;0.4636313417130874;A;lih-rih
probe_probability;T6;L;1;0.5428748148586585;A;lih-rih
probe_probability;T6;L;2;0.4294027349129237;A;lih-rih
probe_probability;T6;L;3;0.5819721566459786;A;lih-rih
probe_probability;T6;L;4;0.7855421214468298;A;lih-rih
probe_probability;T6;L;5;0.6383313690388857;A;lih-rih
probe_probability;T6;L;6;0.4084022575981039;A;lih-rih
probe_probability;T6;R;0;0.5363686582869126;A;lih-rih
probe_probability;T6;R;1;0.4571251851413415;A;lih-rih
probe_probability;T6;R;2;0.5705972650870763;A;lih-rih
probe_probability;T6;R;3;0.4180278433540214;A;lih-rih
probe_probability;T6;R;4;0.2144578785531702;A;lih-rih
probe_probability;T6;R;5;0.3616686309611143;A;lih-rih
probe_probability;T6;R;6;0.5915977424018961;A;lih-rih
probe_probability;T7;L;0;0.7450245113456125;A;lih-rih
probe_probability;T7;L;1;0.4684945832256878;A;lih-rih
probe_probability;T7;L;2;0.2735032728021002;A;lih-rih
probe_probability;T7;L;3;0.5509802479659078;A;lih-rih
probe_probability;T7;L;4;0.8661328292863516;A;lih-rih
probe_probability;T7;L;5;0.785158093090491;A;lih-rih
probe_probability;T7;L;6;0.6343009192047231;A;lih-rih
probe_probability;T7;R;0;0.25497548865438746;A;lih-rih
probe_probability;T7;R;1;0.5315054167743122;A;lih-rih
probe_probability;T7;R;2;0.7264967271978998;A;lih-rih
probe_probability;T7;R;3;0.44901975203409217;A;lih-rih
probe_probability;T7;R;4;0.13386717071364837;A;lih-rih
probe_probability;T7;R;5;0.214841906909509;A;lih-rih
probe_probability;T7;R;6;0.36569908079527685;A;lih-rih
probe_probability;T8;L;0;0.12175681230563185;A;lih-rih
probe_probability;T8;L;1;0.12353185865174077;A;lih-rih
probe_probability;T8;L;2;0.13410703448144368;A;lih-rih
probe_probability;T8;L;3;0.11797174111534348;A;lih-rih
probe_probability;T8;L;4;0.7532194478795329;A;lih-rih
probe_probability;T8;L;5;0.7303006642573513;A;lih-rih
probe_probability;T8;L;6;0.10500202554225946;A;lih-rih
probe_probability;T8;R;0;0.8782431876943682;A;lih-rih
probe_probability;T8;R;1;0.8764681413482592;A;lih-rih
probe_probability;T8;R;2;0.8658929655185563;A;lih-rih
probe_probability;T8;R;3;0.8820282588846565;A;lih-rih
probe_probability;T8;R;4;0.24678055212046718;A;lih-rih
probe_probability;T8;R;5;0.2696993357426487;A;lih-rih
probe_probability;T8;R;6;0.8949979744577405;A;lih-rih
probe_probability;T9;L;0;0.02453333382191436;A;lih-rih
probe_probability;T9;L;1;0.014237831060302186;A;lih-rih
probe_probability;T9;L;2;0.1477358412087305;A;lih-rih
probe_probability;T9;L;3;0.09142344652206813;A;lih-rih
probe_probability;T9;L;4;0.8330872965661935;A;lih-rih
probe_probability;T9;L;5;0.7992720235497339;A;lih-rih
probe_probability;T9;L;6;0.16120089531411885;A;lih-rih
probe_probability;T9;R;0;0.9754666661780856;A;lih-rih
probe_probability;T9;R;1;0.9857621689396978;A;lih-rih
probe_probability;T9;R;2;0.8522641587912695;A;lih-rih
probe_probability;T9;R;3;0.9085765534779319;A;lih-rih
probe_probability;T9;R;4;0.16691270343380654;A;lih-rih
probe_probability;T9;R;5;0.20072797645026613;A;lih-rih
probe_probability;T9;R;6;0.8387991046858811;A;lih-rih
probe_probability;T10;L;0;0.22948529176721766;A;lih-rih
probe_probability;T10;L;1;0.259988835202682;A;lih-rih
probe_probability;T10;L;2;0.34892921297266155;A;lih-rih
probe_probability;T10;L;3;0.29024064818614514;A;lih-rih
probe_probability;T10;L;4;0.43594832929768945;A;lih-rih
probe_probability;T10;L;5;0.49629847165900554;A;lih-rih
probe_probability;T10;L;6;0.17685982203017758;A;lih-rih
probe_probability;T10;R;0;0.7705147082327823;A;lih-rih
probe_probability;T10;R;1;0.740011164797318;A;lih-rih
probe_probability;T10;R;2;0.6510707870273384;A;lih-rih
probe_probability;T10;R;3;0.7097593518138549;A;lih-rih
probe_probability;T10;R;4;0.5640516707023105;A;lih-rih
probe_probability;T10;R;5;0.5037015283409945;A;lih-rih
probe_probability;T10;R;6;0.8231401779698224;A;lih-rih
probe_probability;T11;L;0;0.6663749595988843;A;lih-rih
probe_probability;T11;L;1;0.852140624866968;A;lih-rih
probe_probability;T11;L;2;0.7635530375467708;A;lih-rih
probe_probability;T11;L;3;0.2925017461693322;A;lih-rih
probe_probability;T11;L;4;0.9008911447620694;A;lih-rih
probe_probability;T11;L;5;0.7815199784080369;A;lih-rih
probe_probability;T11;L;6;0.30317595804104525;A;lih-rih
probe_probability;T11;R;0;0.33362504040111574;A;lih-rih
probe_probability;T11;R;1;0.14785937513303207;A;lih-rih
probe_probability;T11;R;2;0.23644696245322913;A;lih-rih
probe_probability;T11;R;3;0.7074982538306678;A;lih-rih
probe_probability;T11;R;4;0.0991088552379306;A;lih-rih
probe_probability;T11;R;5;0.2184800215919631;A;lih-rih
probe_probability;T11;R;6;0.6968240419589548;A;lih-rih
probe_probability;T12;L;0;0.48327791302966805;A;lih-rih
probe_probability;T12;L;1;0.29372013251482687;A;lih-rih
probe_probability;T12;L;2;0.4572737021862432;A;lih-rih
probe_probability;T12;L;3;0.043118359227513836;A;lih-rih
probe_probability;T12;L;4;0.7033034490744922;A;lih-rih
probe_probability;T12;L;5;0.7821962097110438;A;lih-rih
probe_probability;T12;L;6;0.04569334604957698;A;lih-rih
probe_probability;T12;R;0;0.516722086970332;A;lih-rih
probe_probability;T12;R;1;0.7062798674851731;A;lih-rih
probe_probability;T12;R;2;0.5427262978137568;A;lih-rih
probe_probability;T12;R;3;0.9568816407724862;A;lih-rih
probe_probability;T12;R;4;0.29669655092550784;A;lih-rih
probe_probability;T12;R;5;0.2178037902889563;A;lih-rih
probe_probability;T12;R;6;0.954306653950423;A;lih-rih
