measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.08822946702432144;A;lih-rih
probe_probability;CNN;L;1;0.37899821970804637;A;lih-rih
probe_probability;CNN;L;2;0.6596837551248873;A;lih-rih
probe_probability;CNN;L;3;0.5271808950839583;A;lih-rih
probe_probability;CNN;L;4;0.3821341117174972;A;lih-rih
probe_probability;CNN;L;5;0.4338548732402052;A;lih-rih
probe_probability;CNN;L;6;0.47530972618363654;A;lih-rih
probe_probability;CNN;R;0;0.9117705329756786;A;lih-rih
probe_probability;CNN;R;1;0.6210017802919536;A;lih-rih
probe_probability;CNN;R;2;0.3403162448751127;A;lih-rih
probe_probability;CNN;R;3;0.47281910491604173;A;lih-rih
probe_probability;CNN;R;4;0.6178658882825028;A;lih-rih
probe_probability;CNN;R;5;0.5661451267597948;A;lih-rih
probe_probability;CNN;R;6;0.5246902738163635;A;lih-rih
probe_probability;embeds;L;0;0.6482931076480001;A;lih-rih
probe_probability;embeds;L;1;0.9278244427867749;A;lih-rih
probe_probability;embeds;L;2;0.9122541844208772;A;lih-rih
probe_probability;embeds;L;3;0.9808364639569688;A;lih-rih
probe_probability;embeds;L;4;0.8471560196268875;A;lih-rih
probe_probability;embeds;L;5;0.5086256309774861;A;lih-rih
probe_probability;embeds;L;6;0.6190059878549726;A;lih-rih
probe_probability;embeds;R;0;0.351706892352;A;lih-rih
probe_probability;embeds;R;1;0.07217555721322512;A;lih-rih
probe_probability;embeds;R;2;0.08774581557912277;A;lih-rih
probe_probability;embeds;R;3;0.019163536043031233;A;lih-rih
probe_probability;embeds;R;4;0.15284398037311256;A;lih-rih
probe_probability;embeds;R;5;0.4913743690225139;A;lih-rih
probe_probability;embeds;R;6;0.38099401214502737;A;lih-rih
probe_probability;T1;L;0;0.23321270645764336;A;lih-rih
probe_probability;T1;L;1;0.9998655220212437;A;lih-rih
probe_probability;T1;L;2;0.8611527206319624;A;lih-rih
probe_probability;T1;L;3;0.3287898213747742;A;lih-rih
probe_probability;T1;L;4;0.3656894882478452;A;lih-rih
probe_probability;T1;L;5;0.2048849544846182;A;lih-rih
probe_probability;T1;L;6;0.3491980254223601;A;lih-rih
probe_probability;T1;R;0;0.7667872935423566;A;lih-rih
probe_probability;T1;R;1;0.0001344779787562718;A;lih-rih
probe_probability;T1;R;2;0.13884727936803767;A;lih-rih
probe_probability;T1;R;3;0.6712101786252258;A;lih-rih
probe_probability;T1;R;4;0.6343105117521548;A;lih-rih
probe_probability;T1;R;5;0.7951150455153818;A;lih-rih
probe_probability;T1;R;6;0.6508019745776399;A;lih-rih
probe_probability;T2;L;0;0.32968374758962027;A;lih-rih
probe_probability;T2;L;1;0.004135739622804335;A;lih-rih
probe_probability;T2;L;2;2.8874955316893214e-05;A;lih-rih
probe_probability;T2;L;3;1.6471043200128044e-05;A;lih-rih
probe_probability;T2;L;4;0.0001238250973113475;A;lih-rih
probe_probability;T2;L;5;8.889940838907595e-05;A;lih-rih
probe_probability;T2;L;6;6.502392574891935e-05;A;lih-rih
probe_probability;T2;R;0;0.6703162524103797;A;lih-rih
probe_probability;T2;R;1;0.9958642603771957;A;lih-rih
probe_probability;T2;R;2;0.9999711250446831;A;lih-rih
probe_probability;T2;R;3;0.9999835289567999;A;lih-rih
probe_probability;T2;R;4;0.9998761749026887;A;lih-rih
probe_probability;T2;R;5;0.9999111005916109;A;lih-rih
probe_probability;T2;R;6;0.9999349760742511;A;lih-rih
probe_probability;T3;L;0;0.999987046365854;A;lih-rih
probe_probability;T3;L;1;0.024348211647878037;A;lih-rih
probe_probability;T3;L;2;0.007406907059511525;A;lih-rih
probe_probability;T3;L;3;0.0004399823670567793;A;lih-rih
probe_probability;T3;L;4;0.0017328030756823543;A;lih-rih
probe_probability;T3;L;5;0.00021518269441722637;A;lih-rih
probe_probability;T3;L;6;0.000247120072111251;A;lih-rih
probe_probability;T3;R;0;1.2953634146011142e-05;A;lih-rih
probe_probability;T3;R;1;0.975651788352122;A;lih-rih
probe_probability;T3;R;2;0.9925930929404885;A;lih-rih
probe_probability;T3;R;3;0.9995600176329432;A;lih-rih
probe_probability;T3;R;4;0.9982671969243176;A;lih-rih
probe_probability;T3;R;5;0.9997848173055828;A;lih-rih
probe_probability;T3;R;6;0.9997528799278887;A;lih-rih
probe_probability;T4;L;0;0.9997006561380748;A;lih-rih
probe_probability;T4;L;1;0.002571891767642831;A;lih-rih
probe_probability;T4;L;2;0.0007027321317512047;A;lih-rih
probe_probability;T4;L;3;0.000760461244448396;A;lih-rih
probe_probability;T4;L;4;6.448466696062916e-05;A;lih-rih
probe_probability;T4;L;5;3.9473858398975104e-05;A;lih-rih
probe_probability;T4;L;6;7.96000474601044e-06;A;lih-rih
