measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.754433884797392;A;lih-rih
probe_probability;CNN;L;1;0.6765585005038293;A;lih-rih
probe_probability;CNN;L;2;0.6563306295357267;A;lih-rih
probe_probability;CNN;L;3;0.6819493778222022;A;lih-rih
probe_probability;CNN;L;4;0.6799380062607634;A;lih-rih
probe_probability;CNN;L;5;0.703277816793166;A;lih-rih
probe_probability;CNN;L;6;0.7215845740263216;A;lih-rih
probe_probability;CNN;R;0;0.24556611520260793;A;lih-rih
probe_probability;CNN;R;1;0.3234414994961707;A;lih-rih
probe_probability;CNN;R;2;0.3436693704642733;A;lih-rih
probe_probability;CNN;R;3;0.3180506221777978;A;lih-rih
probe_probability;CNN;R;4;0.3200619937392366;A;lih-rih
probe_probability;CNN;R;5;0.29672218320683397;A;lih-rih
probe_probability;CNN;R;6;0.27841542597367847;A;lih-rih
probe_probability;embeds;L;0;0.9998318953211186;A;lih-rih
probe_probability;embeds;L;1;0.998061043534842;A;lih-rih
probe_probability;embeds;L;2;0.9901837704845077;A;lih-rih
probe_probability;embeds;L;3;0.9906062673700017;A;lih-rih
probe_probability;embeds;L;4;0.9724230904077201;A;lih-rih
probe_probability;embeds;L;5;0.9803818394721686;A;lih-rih
probe_probability;embeds;L;6;0.9773712113924434;A;lih-rih
probe_probability;embeds;R;0;0.00016810467888139983;A;lih-rih
probe_probability;embeds;R;1;0.001938956465157992;A;lih-rih
probe_probability;embeds;R;2;0.009816229515492367;A;lih-rih
probe_probability;embeds;R;3;0.009393732629998281;A;lih-rih
probe_probability;embeds;R;4;0.027576909592279864;A;lih-rih
probe_probability;embeds;R;5;0.01961816052783143;A;lih-rih
probe_probability;embeds;R;6;0.02262878860755662;A;lih-rih
probe_probability;T1;L;0;0.9782851253402045;A;lih-rih
probe_probability;T1;L;1;0.7093122620284807;A;lih-rih
probe_probability;T1;L;2;0.8506716399597599;A;lih-rih
probe_probability;T1;L;3;0.9513330236240061;A;lih-rih
probe_probability;T1;L;4;0.9730232795606995;A;lih-rih
probe_probability;T1;L;5;0.9813533468239904;A;lih-rih
probe_probability;T1;L;6;0.993125206438174;A;lih-rih
probe_probability;T1;R;0;0.021714874659795526;A;lih-rih
probe_probability;T1;R;1;0.29068773797151926;A;lih-rih
probe_probability;T1;R;2;0.14932836004024008;A;lih-rih
probe_probability;T1;R;3;0.04866697637599395;A;lih-rih
probe_probability;T1;R;4;0.026976720439300494;A;lih-rih
probe_probability;T1;R;5;0.018646653176009588;A;lih-rih
probe_probability;T1;R;6;0.006874793561825966;A;lih-rih
probe_probability;T2;L;0;0.8745727226274679;A;lih-rih
probe_probability;T2;L;1;0.562175829470976;A;lih-rih
probe_probability;T2;L;2;0.7880042126223934;A;lih-rih
probe_probability;T2;L;3;0.8959587447256444;A;lih-rih
probe_probability;T2;L;4;0.9770015480409935;A;lih-rih
probe_probability;T2;L;5;0.9901954433836184;A;lih-rih
probe_probability;T2;L;6;0.9932712414192109;A;lih-rih
probe_probability;T2;R;0;0.12542727737253212;A;lih-rih
probe_probability;T2;R;1;0.43782417052902395;A;lih-rih
probe_probability;T2;R;2;0.21199578737760663;A;lih-rih
probe_probability;T2;R;3;0.10404125527435555;A;lih-rih
probe_probability;T2;R;4;0.022998451959006523;A;lih-rih
probe_probability;T2;R;5;0.009804556616381618;A;lih-rih
