measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.754433884797392;A;lih-rih
probe_probability;CNN;L;1;0.6765585005038293;A;lih-rih
probe_probability;CNN;L;2;0.6563306295357267;A;lih-rih
probe_probability;CNN;L;3;0.6819493778222022;A;lih-rih
probe_probability;CNN;L;4;0.6799380062607634;A;lih-rih
probe_probability;CNN;L;5;0.703277816793166;A;lih-rih
probe_probability;CNN;L;6;0.7215845740263216;A;lih-rih
probe_probability;CNN;R;0;0.24556611520260793;A;lih-rih
probe_probability;CNN;R;1;0.3234414994961707;A;lih-rih
probe_probability;CNN;R;2;0.3436693704642733;A;lih-rih
probe_probability;CNN;R;3;0.3180506221777978;A;lih-rih
probe_probability;CNN;R;4;0.3200619937392366;A;lih-rih
probe_probability;CNN;R;5;0.29672218320683397;A;lih-rih
probe_probability;CNN;R;6;0.27841542597367847;A;lih-rih
probe_probability;embeds;L;0;0.9999162685407539;A;lih-rih
probe_probability;embeds;L;1;0.9992425736395895;A;lih-rih
probe_probability;embeds;L;2;0.9972791288223233;A;lih-rih
probe_probability;embeds;L;3;0.9962752026089035;A;lih-rih
probe_probability;embeds;L;4;0.9849427189114732;A;lih-rih
probe_probability;embeds;L;5;0.9903929090114141;A;lih-rih
probe_probability;embeds;L;6;0.986853301280305;A;lih-rih
probe_probability;embeds;R;0;8.373145924606745e-05;A;lih-rih
probe_probability;embeds;R;1;0.0007574263604105774;A;lih-rih
probe_probability;embeds;R;2;0.002720871177676773;A;lih-rih
probe_probability;embeds;R;3;0.003724797391096497;A;lih-rih
probe_probability;embeds;R;4;0.015057281088526817;A;lih-rih
probe_probability;embeds;R;5;0.009607090988585967;A;lih-rih
probe_probability;embeds;R;6;0.013146698719694946;A;lih-rih
probe_probability;T1;L;0;0.8531851947796303;A;lih-rih
probe_probability;T1;L;1;0.10967717249686315;A;lih-rih
probe_probability;T1;L;2;0.16833870372444482;A;lih-rih
probe_probability;T1;L;3;0.48710197592428506;A;lih-rih
probe_probability;T1;L;4;0.8257510290362433;A;lih-rih
probe_probability;T1;L;5;0.8850653489117308;A;lih-rih
probe_probability;T1;L;6;0.9500145279995573;A;lih-rih
probe_probability;T1;R;0;0.14681480522036966;A;lih-rih
probe_probability;T1;R;1;0.8903228275031368;A;lih-rih
probe_probability;T1;R;2;0.8316612962755552;A;lih-rih
probe_probability;T1;R;3;0.5128980240757149;A;lih-rih
probe_probability;T1;R;4;0.17424897096375666;A;lih-rih
probe_probability;T1;R;5;0.11493465108826918;A;lih-rih
probe_probability;T1;R;6;0.049985472000442725;A;lih-rih
probe_probability;T2;L;0;0.8365738489221402;A;lih-rih
probe_probability;T2;L;1;0.33240747296286677;A;lih-rih
probe_probability;T2;L;2;0.4586797458383335;A;lih-rih
probe_probability;T2;L;3;0.58979918904153;A;lih-rih
probe_probability;T2;L;4;0.8974599458609945;A;lih-rih
probe_probability;T2;L;5;0.952373370346008;A;lih-rih
probe_probability;T2;L;6;0.9667487117133603;A;lih-rih
probe_probability;T2;R;0;0.16342615107785982;A;lih-rih
probe_probability;T2;R;1;0.6675925270371332;A;lih-rih
probe_probability;T2;R;2;0.5413202541616665;A;lih-rih
probe_probability;T2;R;3;0.41020081095847005;A;lih-rih
probe_probability;T2;R;4;0.10254005413900542;A;lih-rih
probe_probability;T2;R;5;0.04762662965399199;A;lih-rih
