measure;layer;token;step;score;voice;continuum
probe_probability;CNN;L;0;0.4609949193111146;A;lih-rih
probe_probability;CNN;L;1;0.30173876833188173;A;lih-rih
probe_probability;CNN;L;2;0.26198839204369184;A;lih-rih
probe_probability;CNN;L;3;0.3227983015415945;A;lih-rih
probe_probability;CNN;L;4;0.3262892709867883;A;lih-rih
probe_probability;CNN;L;5;0.2806627727739315;A;lih-rih
probe_probability;CNN;L;6;0.35204661727164077;A;lih-rih
probe_probability;CNN;R;0;0.5390050806888854;A;lih-rih
probe_probability;CNN;R;1;0.6982612316681183;A;lih-rih
probe_probability;CNN;R;2;0.7380116079563082;A;lih-rih
probe_probability;CNN;R;3;0.6772016984584055;A;lih-rih
probe_probability;CNN;R;4;0.6737107290132117;A;lih-rih
probe_probability;CNN;R;5;0.7193372272260685;A;lih-rih
probe_probability;CNN;R;6;0.6479533827283592;A;lih-rih
probe_probability;embeds;L;0;8.35994850781896e-05;A;lih-rih
probe_probability;embeds;L;1;0.06739830408165959;A;lih-rih
probe_probability;embeds;L;2;0.23098729874404855;A;lih-rih
probe_probability;embeds;L;3;0.028490842211780776;A;lih-rih
probe_probability;embeds;L;4;0.12088312262528855;A;lih-rih
probe_probability;embeds;L;5;0.8186819068604918;A;lih-rih
probe_probability;embeds;L;6;0.16117920120214158;A;lih-rih
probe_probability;embeds;R;0;0.9999164005149218;A;lih-rih
probe_probability;embeds;R;1;0.9326016959183404;A;lih-rih
probe_probability;embeds;R;2;0.7690127012559514;A;lih-rih
probe_probability;embeds;R;3;0.9715091577882192;A;lih-rih
probe_probability;embeds;R;4;0.8791168773747114;A;lih-rih
probe_probability;embeds;R;5;0.1813180931395082;A;lih-rih
probe_probability;embeds;R;6;0.8388207987978584;A;lih-rih
probe_probability;T1;L;0;0.050365813781893976;A;lih-rih
probe_probability;T1;L;1;0.0002821820776581774;A;lih-rih
probe_probability;T1;L;2;0.005594048452225442;A;lih-rih
probe_probability;T1;L;3;5.0519131351234314e-05;A;lih-rih
probe_probability;T1;L;4;2.019033881250909e-05;A;lih-rih
probe_probability;T1;L;5;0.0019511658674805643;A;lih-rih
probe_probability;T1;L;6;0.0005869571435765941;A;lih-rih
probe_probability;T1;R;0;0.949634186218106;A;lih-rih
probe_probability;T1;R;1;0.9997178179223418;A;lih-rih
probe_probability;T1;R;2;0.9944059515477746;A;lih-rih
probe_probability;T1;R;3;0.9999494808686488;A;lih-rih
probe_probability;T1;R;4;0.9999798096611875;A;lih-rih
probe_probability;T1;R;5;0.9980488341325194;A;lih-rih
probe_probability;T1;R;6;0.9994130428564234;A;lih-rih
probe_probability;T2;L;0;0.999744952252412;A;lih-rih
probe_probability;T2;L;1;0.9999999628700118;A;lih-rih
probe_probability;T2;L;2;0.9999999188106692;A;lih-rih
probe_probability;T2;L;3;0.9999997869925742;A;lih-rih
probe_probability;T2;L;4;0.9999999276385839;A;lih-rih
probe_probability;T2;L;5;0.9999993220874107;A;lih-rih
probe_probability;T2;L;6;0.9999971925623439;A;lih-rih
probe_probability;T2;R;0;0.0002550477475880297;A;lih-rih
probe_probability;T2;R;1;3.7129988241258454e-08;A;lih-rih
